Time,Current (A),RRCF Anomaly Score,Outlier
2004-02-14,11.826282960302732,0.0,False
2004-02-15,11.804308624193794,1.0000000000000009,False
2004-02-16,11.80360596556941,1.370000000000001,False
2004-02-17,11.239218172388057,1.8000000000000014,False
2004-02-18,11.810166127516938,2.0100000000000007,False
2004-02-19,11.811460636696346,2.245,False
2004-02-20,11.793734122728633,2.5083333333333315,False
2004-02-21,11.789532741515258,2.5349999999999997,False
2004-02-22,11.80041884971036,2.7183333333333315,False
2004-02-23,11.795662521676094,3.449999999999997,False
2004-02-24,10.50608499925724,4.101666666666663,False
2004-02-25,11.783608318716835,2.2433333333333327,False
2004-02-26,11.784249776773672,2.4383333333333312,False
2004-02-27,11.773643386638772,2.91583333333333,False
2004-02-28,11.406236740709405,2.771928571428569,False
2004-02-29,11.772422311397241,2.8605952380952346,False
2004-03-01,11.768852377104121,4.108857142857138,False
2004-03-02,11.758958230879465,4.953833333333332,False
2004-03-03,11.737859477008062,5.355857142857139,False
2004-03-04,11.726861487878466,4.652404761904758,False
2004-03-05,11.732412956468108,5.261781746031747,False
2004-03-06,11.527600318545575,5.093865079365078,False
2004-03-07,11.47367243447088,4.957952380952378,False
2004-03-08,11.786211407548269,5.4168896103896085,False
2004-03-09,11.7655402570149,5.347380952380951,False
2004-03-10,11.722320778187886,5.589571789321786,False
2004-03-11,11.815446539598645,6.281488095238097,False
2004-03-12,11.805037845787904,6.1968492063492056,False
2004-03-13,11.826666677114599,9.561264069264068,False
2004-03-14,11.875669934106035,8.407447330447331,False
2004-03-15,11.882435492446158,6.455449938949936,False
2004-03-16,11.862877415044697,5.1471590909090885,False
2004-03-17,11.929120721035792,5.138388888888885,False
2004-03-18,11.221598922524564,8.182412087912088,False
2004-03-19,11.946329659493909,4.5978455988455975,False
2004-03-20,11.917329027983053,7.236904761904763,False
2004-03-21,11.96806337589644,11.253,False
2004-03-22,11.926454028841713,12.513571428571426,False
2004-03-23,11.983727056777036,15.410584415584413,False
2004-03-24,12.000683684961414,17.857559523809527,False
2004-03-25,12.027442662024276,17.33353174603175,False
2004-03-26,12.030654192268662,15.085681818181826,False
2004-03-27,12.005459088833295,13.532337301587305,False
2004-03-28,12.063509951282516,16.651472222222218,False
2004-03-29,12.005464569608636,18.69835714285713,False
2004-03-30,12.031866282099235,15.137150793650793,False
2004-03-31,12.001987091791888,16.138534992784994,False
2004-04-01,11.947820503147664,15.997243506493511,False
2004-04-02,11.849861837198524,15.840368686868693,False
2004-04-03,11.85238895783838,16.292446608946616,False
2004-04-04,11.865613049605555,17.502249167499162,False
2004-04-05,11.676709208261109,20.317198412698428,False
2004-04-06,10.662262073425756,18.453427849927852,False
2004-04-07,9.647814938590397,19.33566991341992,False
2004-04-08,8.633367803755046,19.327464285714285,False
2004-04-09,7.618920668919697,18.088824841824838,False
2004-04-10,6.604473534084335,19.752019147519157,False
2004-04-11,5.5900263992489805,21.7404363969364,False
2004-04-12,4.575579264413634,19.86463888888889,False
2004-04-13,3.5611321295782745,18.53946212121212,False
2004-04-14,2.5466849947429218,18.35346428571428,False
2004-04-15,1.5322378599075668,19.396923548673552,False
2004-04-16,0.5177907250722126,19.12279996392497,False
2004-04-17,0.040675138888888886,15.810192374876587,False
2004-04-18,12.090541840233572,11.973022256338437,False
2004-04-19,12.005676761365507,11.957665831717305,False
2004-04-20,11.984761645151579,10.975220275983048,False
2004-04-21,12.082150385527385,13.280734013535488,False
2004-04-22,6.07555141111111,13.272398678935435,False
2004-04-23,11.81751832843647,15.210061613223381,False
2004-04-24,12.075073665072706,14.376064041350812,False
2004-04-25,11.990258456943224,14.634899886061651,False
2004-04-26,12.025188931650664,15.514697840429266,False
2004-04-27,11.776642822222225,16.111538902274194,False
2004-04-28,11.973817722896195,12.21500459855762,False
2004-04-29,11.94754812794554,13.812705216352274,False
2004-04-30,11.965585158112436,12.714129786879784,False
2004-05-01,0.051885694444444436,10.329634350943179,False
2004-05-02,3.2028104232772847,10.778006868131865,False
2004-05-03,4.598331252555234,11.88345486539604,False
2004-05-04,5.993852081833179,10.68047540204893,False
2004-05-05,7.389372911111122,11.270583635662582,False
2004-05-06,8.784893740389071,9.4858482175719,False
2004-05-07,10.180414569667015,7.208202380952378,False
2004-05-08,11.575935398944964,2.9034969752469757,False
2004-05-09,11.843219296779035,4.382642727886148,False
2004-05-10,11.877468946626465,5.172633719479693,False
2004-05-11,11.795107466608664,6.134759191788603,False
2004-05-12,11.849627236475234,5.6360574605133404,False
2004-05-13,11.863925331997025,5.55408109763044,False
2004-05-14,11.876098085458072,6.729154782202736,False
2004-05-15,11.867903802254872,7.648408038659557,False
2004-05-16,11.869976188289359,4.337730110240637,False
2004-05-17,11.887149762419504,5.364101206160983,False
2004-05-18,11.819595372334804,11.580277056277057,False
2004-05-19,11.849450435104457,14.166095031055901,False
2004-05-20,11.855767750672236,12.671603816439008,False
2004-05-21,11.810346708545945,13.323296758796758,False
2004-05-22,11.786277301698227,12.293868421052633,False
2004-05-23,11.841367264799723,13.387520907455116,False
2004-05-24,11.788545516985225,14.805714285714286,False
2004-05-25,11.79834386193213,14.203168581756316,False
2004-05-26,10.765644211423519,15.335815126050418,False
2004-05-27,11.471335620210082,13.527436362235695,False
2004-05-28,11.777512281876902,12.60731046365915,False
2004-05-29,11.799185351693485,12.40460037348272,False
2004-05-30,11.786023329435688,14.365878938545118,False
2004-05-31,11.796283986963616,13.395214285714284,False
2004-06-01,11.816185352811205,12.047033910533905,False
2004-06-02,11.80054892060193,13.019934251369545,False
2004-06-03,11.794868547294454,16.108239280109313,False
2004-06-04,12.714042755555539,11.779928246475453,False
2004-06-05,11.813748279255945,6.694682733116558,False
2004-06-06,11.777296935995608,8.817752747905681,False
2004-06-07,11.775912851141797,6.658791856410142,False
2004-06-08,11.75472868750204,8.133780134349928,False
2004-06-09,11.737491554618886,10.002745973939387,False
