Time,Current (A),RRCF Anomaly Score,Outlier
2004-03-02,11.758958230879465,0.0,False
2004-03-03,11.737859477008062,0.0,False
2004-03-04,11.726861487878466,0.0,False
2004-03-05,11.732412956468108,0.0,False
2004-03-06,11.527600318545575,0.0,False
2004-03-07,11.47367243447088,0.0,False
2004-03-08,11.786211407548269,0.0,False
2004-03-09,11.7655402570149,0.0,False
2004-03-10,11.722320778187886,0.0,False
2004-03-11,11.815446539598645,0.0,False
2004-03-12,11.805037845787904,0.0,False
2004-03-13,11.826666677114599,0.0,False
2004-03-14,11.875669934106035,0.0,False
2004-03-15,11.882435492446158,0.0,False
2004-03-16,11.862877415044697,0.0,False
2004-03-17,11.929120721035792,0.0,False
2004-03-18,11.221598922524564,0.0,False
2004-03-19,11.946329659493909,0.0,False
2004-03-20,11.917329027983053,1.0000000000000009,False
2004-03-21,11.96806337589644,1.0000000000000009,False
2004-03-22,11.926454028841713,1.0000000000000009,False
2004-03-23,11.983727056777036,1.0000000000000009,False
2004-03-24,12.000683684961414,1.0000000000000009,False
2004-03-25,12.027442662024276,1.0000000000000009,False
2004-03-26,12.030654192268662,1.0000000000000009,False
2004-03-27,12.005459088833295,1.0000000000000009,False
2004-03-28,12.063509951282516,1.0000000000000009,False
2004-03-29,12.005464569608636,1.0000000000000009,False
2004-03-30,12.031866282099235,1.0000000000000009,False
2004-03-31,12.001987091791888,1.0000000000000009,False
2004-04-01,11.947820503147664,1.0000000000000009,False
2004-04-02,11.849861837198524,1.0000000000000009,False
2004-04-03,11.85238895783838,1.0000000000000009,False
2004-04-04,11.865613049605555,1.0000000000000009,False
2004-04-05,11.676709208261109,1.0000000000000009,False
2004-04-06,10.662262073425756,1.0000000000000009,False
2004-04-07,9.647814938590397,1.990000000000001,False
2004-04-08,8.633367803755046,1.990000000000001,False
2004-04-09,7.618920668919697,1.990000000000001,False
2004-04-10,6.604473534084335,1.990000000000001,False
2004-04-11,5.5900263992489805,1.990000000000001,False
2004-04-12,4.575579264413634,1.990000000000001,False
2004-04-13,3.5611321295782745,1.990000000000001,False
2004-04-14,2.5466849947429218,1.990000000000001,False
2004-04-15,1.5322378599075668,1.990000000000001,False
2004-04-16,0.5177907250722126,1.990000000000001,False
2004-04-17,0.040675138888888886,1.990000000000001,False
2004-04-18,12.090541840233572,1.990000000000001,False
2004-04-19,12.005676761365507,1.990000000000001,False
2004-04-20,11.984761645151579,1.990000000000001,False
2004-04-21,12.082150385527385,1.990000000000001,False
2004-04-22,6.07555141111111,1.990000000000001,False
2004-04-23,11.81751832843647,1.990000000000001,False
2004-04-24,12.075073665072706,1.990000000000001,False
2004-04-25,11.990258456943224,1.7800000000000014,False
2004-04-26,12.025188931650664,1.7800000000000014,False
2004-04-27,11.776642822222225,1.7800000000000014,False
2004-04-28,11.973817722896195,1.7800000000000014,False
2004-04-29,11.94754812794554,1.7800000000000014,False
2004-04-30,11.965585158112436,1.7800000000000014,False
2004-05-01,0.051885694444444436,1.7800000000000014,False
2004-05-02,3.2028104232772847,1.7800000000000014,False
2004-05-03,4.598331252555234,1.7800000000000014,False
2004-05-04,5.993852081833179,1.7800000000000014,False
2004-05-05,7.389372911111122,1.7800000000000014,False
2004-05-06,8.784893740389071,1.7800000000000014,False
2004-05-07,10.180414569667015,1.7800000000000014,False
2004-05-08,11.575935398944964,1.7800000000000014,False
2004-05-09,11.843219296779035,1.7800000000000014,False
2004-05-10,11.877468946626465,1.7800000000000014,False
2004-05-11,11.795107466608664,1.7800000000000014,False
2004-05-12,11.849627236475234,1.7800000000000014,False
2004-05-13,11.863925331997025,1.2600000000000011,False
2004-05-14,11.876098085458072,1.2600000000000011,False
2004-05-15,11.867903802254872,1.2600000000000011,False
2004-05-16,11.869976188289359,1.2600000000000011,False
2004-05-17,11.887149762419504,1.2600000000000011,False
2004-05-18,11.819595372334804,1.2600000000000011,False
2004-05-19,11.849450435104457,1.2600000000000011,False
2004-05-20,11.855767750672236,1.2600000000000011,False
2004-05-21,11.810346708545945,1.2600000000000011,False
2004-05-22,11.786277301698227,1.2600000000000011,False
2004-05-23,11.841367264799723,1.2600000000000011,False
2004-05-24,11.788545516985225,1.2600000000000011,False
2004-05-25,11.79834386193213,1.2600000000000011,False
2004-05-26,10.765644211423519,1.2600000000000011,False
2004-05-27,11.471335620210082,1.2600000000000011,False
2004-05-28,11.777512281876902,1.2600000000000011,False
2004-05-29,11.799185351693485,1.2600000000000011,False
2004-05-30,11.786023329435688,1.2600000000000011,False
2004-05-31,11.796283986963616,1.1900000000000006,False
2004-06-01,11.816185352811205,1.1900000000000006,False
2004-06-02,11.80054892060193,1.1900000000000006,False
2004-06-03,11.794868547294454,1.1900000000000006,False
2004-06-04,12.714042755555539,1.1900000000000006,False
2004-06-05,11.813748279255945,1.1900000000000006,False
2004-06-06,11.777296935995608,1.1900000000000006,False
2004-06-07,11.775912851141797,1.1900000000000006,False
2004-06-08,11.75472868750204,1.1900000000000006,False
2004-06-09,11.737491554618886,1.1900000000000006,False
2004-06-10,11.766067259787595,1.1900000000000006,False
2004-06-11,11.734166989154835,1.1900000000000006,False
2004-06-12,11.723987901847794,1.1900000000000006,False
2004-06-13,11.732604993726193,1.1900000000000006,False
2004-06-14,11.759100445431715,1.1900000000000006,False
2004-06-15,11.728358908524964,1.1900000000000006,False
2004-06-16,11.723268703438528,1.1900000000000006,False
2004-06-17,11.731848796262677,1.1900000000000006,False
2004-06-18,11.766133120739227,1.5850000000000009,False
2004-06-19,11.40500057777777,1.5850000000000009,False
