Time,RPM,ARIMA
2009-05-22,1266.6463972396714,
2009-05-23,1259.3019286831538,89.78107167979647
2009-05-24,72.33210595314287,122.17279668983849
2009-05-25,0.0,92.76506113145588
2009-05-26,0.0,70.94410292776
2009-05-27,0.0,56.981101609568206
2009-05-28,0.0,48.04333716085215
2009-05-29,0.0,42.32136922593085
2009-05-30,0.0,38.657891504418636
2009-05-31,0.0,36.312272498669365
2009-06-01,0.0,34.81041176131943
2009-06-02,0.0,33.848785303900016
2009-06-03,0.0,33.23306177776108
2009-06-04,0.0,32.83881637894086
2009-06-05,0.0,32.58638202714056
2009-06-06,0.0,32.42474872231208
2009-06-07,0.0,32.321255094087974
2009-06-08,0.0,32.25498820243528
2009-06-09,0.0,32.21255754787194
2009-06-10,0.0,32.18538921716572
2009-06-11,0.0,32.16799334381758
2009-06-12,0.0,32.156854770790524
2009-06-13,0.0,32.14972274508404
2009-06-14,0.0,32.14515611053001
2009-06-15,0.0,32.14223209532339
2009-06-16,0.0,32.14035984893482
2009-06-17,0.0,32.13916104991219
2009-06-18,0.0,32.13839345911114
2009-06-19,0.0,32.13790197085585
2009-06-20,0.0,32.13758727101143
2009-06-21,0.0,32.137385768755436
2009-06-22,0.0,32.13725674689562
2009-06-23,0.0,32.13717413422095
2009-06-24,0.0,32.13712123733953
2009-06-25,0.0,32.13708736747542
2009-06-26,0.0,32.13706568060722
2009-06-27,0.0,32.13705179450923
2009-06-28,0.0,32.13704290324307
2009-06-29,0.0,32.137037210166866
2009-06-30,0.0,32.13703356489115
2009-07-01,0.0,32.137031230821734
2009-07-02,0.0,32.13702973631749
2009-07-03,0.0,32.13702877938667
2009-07-04,0.0,32.137028166664024
2009-07-05,0.0,32.137027774337824
2009-07-06,0.0,32.13702752313142
2009-07-07,0.0,32.13702736228401
2009-07-08,0.0,32.13702725929344
2009-07-09,0.0,32.137027193348594
2009-07-10,0.0,32.13702715112412
2009-07-11,0.0,32.137027124087794
2009-07-12,0.0,32.13702710677644
2009-07-13,0.0,32.13702709569199
2009-07-14,0.0,32.137027088594614
2009-07-15,0.0,32.13702708405017
2009-07-16,0.0,32.13702708114036
2009-07-17,0.0,32.1370270792772
2009-07-18,0.0,32.13702707808423
2009-07-19,0.0,32.13702707732037
2009-07-20,0.0,32.137027076831274
2009-07-21,0.0,32.1370270765181
2009-07-22,0.0,32.13702707631758
2009-07-23,0.0,32.137027076189185
2009-07-24,0.0,32.137027076106975
2009-07-25,0.0,32.13702707605434
2009-07-26,0.0,32.13702707602063
2009-07-27,0.0,32.13702707599904
2009-07-28,0.0,32.13702707598522
2009-07-29,0.0,32.13702707597638
2009-07-30,0.0,32.137027075970714
2009-07-31,0.0,32.13702707596708
2009-08-01,0.0,32.13702707596476
2009-08-02,0.0,32.137027075963275
2009-08-03,0.0,32.13702707596232
2009-08-04,0.0,32.13702707596171
2009-08-05,0.0,32.13702707596132
2009-08-06,0.0,32.13702707596107
2009-08-07,0.0,32.137027075960916
2009-08-08,0.0,32.137027075960816
2009-08-09,0.0,32.137027075960745
2009-08-10,0.0,32.1370270759607
2009-08-11,0.0,32.137027075960674
2009-08-12,0.0,32.13702707596066
2009-08-13,0.0,32.137027075960646
2009-08-14,0.0,32.13702707596064
2009-08-15,0.0,32.13702707596063
2009-08-16,0.0,32.13702707596063
2009-08-17,0.0,32.13702707596063
2009-08-18,0.0,32.13702707596063
2009-08-19,0.0,32.13702707596063
2009-08-20,0.0,32.13702707596063
2009-08-21,0.0,32.13702707596063
2009-08-22,0.0,32.13702707596063
2009-08-23,0.0,32.13702707596063
2009-08-24,0.0,32.13702707596063
2009-08-25,0.0,32.13702707596063
2009-08-26,0.0,32.13702707596063
2009-08-27,0.0,32.13702707596063
2009-08-28,0.0,32.13702707596063
2009-08-29,0.0,32.13702707596063
2009-08-30,0.0,32.13702707596063
2009-08-31,0.0,32.13702707596063
2009-09-01,0.0,32.13702707596063
2009-09-02,0.0,32.13702707596063
2009-09-03,0.0,32.13702707596063
2009-09-04,0.0,32.13702707596063
2009-09-05,0.0,32.13702707596063
2009-09-06,0.0,32.13702707596063
2009-09-07,0.0,32.13702707596063
2009-09-08,0.0,32.13702707596063
2009-09-09,0.0,32.13702707596063
2009-09-10,0.0,32.13702707596063
2009-09-11,0.0,32.13702707596063
2009-09-12,0.0,32.13702707596063
2009-09-13,0.0,32.13702707596063
2009-09-14,0.0,32.13702707596063
2009-09-15,0.0,32.13702707596063
2009-09-16,0.0,32.13702707596063
2009-09-17,0.0,32.13702707596063
2009-09-18,0.0,32.13702707596063
2009-09-19,0.0,32.13702707596063
2009-09-20,0.0,32.13702707596063
2009-09-21,0.0,32.13702707596063
2009-09-22,0.0,32.13702707596063
2009-09-23,0.0,32.13702707596063
2009-09-24,0.0,32.13702707596063
2009-09-25,0.0,32.13702707596063
2009-09-26,0.0,32.13702707596063
2009-09-27,0.0,32.13702707596063
2009-09-28,0.0,32.13702707596063
2009-09-29,0.0,32.13702707596063
2009-09-30,0.0,32.13702707596063
2009-10-01,0.0,32.13702707596063
2009-10-02,0.0,32.13702707596063
2009-10-03,0.0,32.13702707596063
2009-10-04,0.0,32.13702707596063
2009-10-05,0.0,32.13702707596063
2009-10-06,0.0,32.13702707596063
2009-10-07,0.0,32.13702707596063
2009-10-08,0.0,32.13702707596063
2009-10-09,0.0,32.13702707596063
2009-10-10,0.0,32.13702707596063
2009-10-11,0.0,32.13702707596063
2009-10-12,0.0,32.13702707596063
2009-10-13,0.0,32.13702707596063
2009-10-14,0.0,32.13702707596063
