Time,RPM,ARIMA,Outlier
2009-05-22,1266.6463972396714,,False
2009-05-23,1259.3019286831536,89.78107167979647,False
2009-05-24,72.33210595314287,122.17279668983849,False
2009-05-25,0.0,92.76506113145588,False
2009-05-26,0.0,70.94410292776,False
2009-05-27,0.0,56.98110160956821,False
2009-05-28,0.0,48.04333716085215,False
2009-05-29,0.0,42.32136922593085,False
2009-05-30,0.0,38.65789150441864,False
2009-05-31,0.0,36.312272498669365,False
2009-06-01,0.0,34.81041176131943,False
2009-06-02,0.0,33.848785303900016,False
2009-06-03,0.0,33.23306177776108,False
2009-06-04,0.0,32.83881637894086,False
2009-06-05,0.0,32.58638202714056,False
2009-06-06,0.0,32.42474872231208,False
2009-06-07,0.0,32.32125509408797,False
2009-06-08,0.0,32.25498820243528,False
2009-06-09,0.0,32.212557547871945,False
2009-06-10,0.0,32.18538921716572,False
2009-06-11,0.0,32.16799334381758,False
2009-06-12,0.0,32.156854770790524,False
2009-06-13,0.0,32.14972274508404,False
2009-06-14,0.0,32.14515611053002,False
2009-06-15,0.0,32.14223209532339,False
2009-06-16,0.0,32.14035984893482,False
2009-06-17,0.0,32.13916104991219,False
2009-06-18,0.0,32.13839345911114,False
2009-06-19,0.0,32.13790197085585,False
2009-06-20,0.0,32.13758727101143,False
2009-06-21,0.0,32.13738576875544,False
2009-06-22,0.0,32.13725674689562,False
2009-06-23,0.0,32.13717413422095,False
2009-06-24,0.0,32.13712123733953,False
2009-06-25,0.0,32.137087367475424,False
2009-06-26,0.0,32.13706568060722,False
2009-06-27,0.0,32.13705179450923,False
2009-06-28,0.0,32.13704290324307,False
2009-06-29,0.0,32.137037210166866,False
2009-06-30,0.0,32.13703356489115,False
2009-07-01,0.0,32.13703123082173,False
2009-07-02,0.0,32.13702973631749,False
2009-07-03,0.0,32.137028779386675,False
2009-07-04,0.0,32.137028166664024,False
2009-07-05,0.0,32.137027774337824,False
2009-07-06,0.0,32.13702752313142,False
2009-07-07,0.0,32.13702736228401,False
2009-07-08,0.0,32.13702725929344,False
2009-07-09,0.0,32.137027193348594,False
2009-07-10,0.0,32.13702715112412,False
2009-07-11,0.0,32.137027124087794,False
2009-07-12,0.0,32.13702710677644,False
2009-07-13,0.0,32.137027095691984,False
2009-07-14,0.0,32.13702708859461,False
2009-07-15,0.0,32.137027084050175,False
2009-07-16,0.0,32.13702708114036,False
2009-07-17,0.0,32.1370270792772,False
2009-07-18,0.0,32.13702707808423,False
2009-07-19,0.0,32.13702707732037,False
2009-07-20,0.0,32.137027076831274,False
2009-07-21,0.0,32.1370270765181,False
2009-07-22,0.0,32.13702707631758,False
2009-07-23,0.0,32.137027076189185,False
2009-07-24,0.0,32.13702707610697,False
2009-07-25,0.0,32.13702707605434,False
2009-07-26,0.0,32.13702707602063,False
2009-07-27,0.0,32.13702707599904,False
2009-07-28,0.0,32.137027075985216,False
2009-07-29,0.0,32.13702707597638,False
2009-07-30,0.0,32.137027075970714,False
2009-07-31,0.0,32.137027075967076,False
2009-08-01,0.0,32.13702707596476,False
2009-08-02,0.0,32.137027075963275,False
2009-08-03,0.0,32.13702707596232,False
2009-08-04,0.0,32.13702707596171,False
2009-08-05,0.0,32.13702707596132,False
2009-08-06,0.0,32.13702707596107,False
2009-08-07,0.0,32.13702707596092,False
2009-08-08,0.0,32.137027075960816,False
2009-08-09,0.0,32.137027075960745,False
2009-08-10,0.0,32.137027075960695,False
2009-08-11,0.0,32.137027075960674,False
2009-08-12,0.0,32.13702707596066,False
2009-08-13,0.0,32.13702707596065,False
2009-08-14,0.0,32.13702707596064,False
2009-08-15,0.0,32.137027075960624,False
2009-08-16,0.0,32.137027075960624,False
2009-08-17,0.0,32.137027075960624,False
2009-08-18,0.0,32.137027075960624,False
2009-08-19,0.0,32.137027075960624,False
2009-08-20,0.0,32.137027075960624,False
2009-08-21,0.0,32.137027075960624,False
2009-08-22,0.0,32.137027075960624,False
2009-08-23,0.0,32.137027075960624,False
2009-08-24,0.0,32.137027075960624,False
