Time,Voltage (V),Autoencoder,Outlier
2001-01-22 00:00:00,0.7927952310596638,0.7927952310596638,False
2001-01-22 03:00:00,0.8033087291969783,0.8033087291969783,False
2001-01-22 06:00:00,0.7957263717434819,0.7957263717434819,False
2001-01-22 09:00:00,0.7928684762335836,0.7928684762335836,False
2001-01-22 12:00:00,0.7874643985905618,0.7874643985905618,False
2001-01-22 15:00:00,0.7997520076378772,0.7997520076378772,False
2001-01-22 18:00:00,0.8054873465503181,0.8054873465503181,False
2001-01-22 21:00:00,0.7879739440464673,0.8038323521614075,False
2001-01-23 00:00:00,0.7984662100561448,0.8019773960113525,False
2001-01-23 03:00:00,0.7952945296471956,0.7975372076034546,False
2001-01-23 06:00:00,0.8045000180449664,0.8029708862304688,False
2001-01-23 09:00:00,0.7973893145597559,0.796373188495636,False
2001-01-23 12:00:00,0.795872103375499,0.8006613254547119,False
2001-01-23 15:00:00,0.8000166403226516,0.7931305766105652,False
2001-01-23 18:00:00,0.7930139304501704,0.8022093772888184,False
2001-01-23 21:00:00,0.8082467564445355,0.8021767735481262,False
2001-01-24 00:00:00,0.7961607402367346,0.7974131107330322,False
2001-01-24 03:00:00,0.8004582160761924,0.8041858077049255,False
2001-01-24 06:00:00,0.7974233647827447,0.7987912893295288,False
2001-01-24 09:00:00,0.8040536596509975,0.7991844415664673,False
2001-01-24 12:00:00,0.8017293422429592,0.8027040958404541,False
2001-01-24 15:00:00,0.7992630942979462,0.7986336946487427,False
2001-01-24 18:00:00,0.8017276715472152,0.8003623485565186,False
2001-01-24 21:00:00,0.7979023803450319,0.8010632395744324,False
2001-01-25 00:00:00,0.8074063040415593,0.7998720407485962,False
2001-01-25 03:00:00,0.7987855537643358,0.8064839839935303,False
2001-01-25 06:00:00,0.8029044945155515,0.8041549921035767,False
2001-01-25 09:00:00,0.7999806957484532,0.799409031867981,False
2001-01-25 12:00:00,0.8034422192920885,0.805194616317749,False
2001-01-25 15:00:00,0.8076304954845424,0.8002007007598877,False
2001-01-25 18:00:00,0.8021014182262891,0.8025365471839905,False
2001-01-25 21:00:00,0.8054429206866587,0.7950893640518188,False
2001-01-26 00:00:00,0.8005987327633828,0.8044769167900085,False
2001-01-26 03:00:00,0.8088360304002968,0.8078663945198059,False
2001-01-26 06:00:00,0.8018927392970251,0.8016942143440247,False
2001-01-26 09:00:00,0.8058660601626877,0.8066005110740662,False
2001-01-26 12:00:00,0.8037335960503387,0.7998914122581482,False
2001-01-26 15:00:00,0.8034702615986071,0.8012744784355164,False
2001-01-26 18:00:00,0.7962602973250248,0.8055992126464844,False
2001-01-26 21:00:00,0.8062376819531867,0.8053851127624512,False
2001-01-27 00:00:00,0.8090209133656132,0.8059284687042236,False
2001-01-27 03:00:00,0.7802635906682034,0.8003695011138916,False
2001-01-27 06:00:00,0.8112475171769709,0.8041538596153259,False
2001-01-27 09:00:00,0.8061019744428491,0.8158619999885559,False
2001-01-27 12:00:00,0.810245420299494,0.8098711967468262,False
2001-01-27 15:00:00,0.8071928484560718,0.8064399957656859,False
2001-01-27 18:00:00,0.8140944338761162,0.8131614923477173,False
2001-01-27 21:00:00,0.8073067944212338,0.8043003678321838,False
2001-01-28 00:00:00,0.8112557017030011,0.8070297241210938,False
2001-01-28 03:00:00,0.8085484319820684,0.8022428154945374,False
2001-01-28 06:00:00,0.8136077823305055,0.8122938871383667,False
2001-01-28 09:00:00,0.8063395443674417,0.8115083575248718,False
2001-01-28 12:00:00,0.8122802223569967,0.8059751987457275,False
2001-01-28 15:00:00,0.8081305584574174,0.8114030957221985,False
2001-01-28 18:00:00,0.8133138487011758,0.8065219521522522,False
2001-01-28 21:00:00,0.8064688426718774,0.8092435598373413,False
2001-01-29 00:00:00,0.8110175978109861,0.8098117709159851,False
2001-01-29 03:00:00,0.8107024082651875,0.8093723654747009,False
2001-01-29 06:00:00,0.8073728019544522,0.8102165460586548,False
2001-01-29 09:00:00,0.8146815690402978,0.8085147738456726,False
2001-01-29 12:00:00,0.8057325297423046,0.8080899715423584,False
2001-01-29 15:00:00,0.8210791324843307,0.816019594669342,False
2001-01-29 18:00:00,0.8076092543521134,0.8117309808731079,False
2001-01-29 21:00:00,0.8077647908248986,0.8059764504432678,False
2001-01-30 00:00:00,0.8111249061471102,0.8130656480789185,False
2001-01-30 03:00:00,0.8126430096462379,0.8058912754058838,False
2001-01-30 06:00:00,0.8099703944983192,0.8099740743637085,False
2001-01-30 09:00:00,0.8082826753559234,0.8030454516410828,False
2001-01-30 12:00:00,0.8138066561214443,0.8141311407089233,False
2001-01-30 15:00:00,0.8066143922106117,0.8148165941238403,False
2001-01-30 18:00:00,0.8116205157819931,0.8085113167762756,False
2001-01-30 21:00:00,0.8106178627456186,0.8139477968215942,False
2001-01-31 00:00:00,0.8092490821802159,0.8090721368789673,False
2001-01-31 03:00:00,0.812698835495032,0.8102308511734009,False
2001-01-31 06:00:00,0.8028331469874228,0.8122060894966125,False
2001-01-31 09:00:00,0.815658959916234,0.8127191066741943,False
2001-01-31 12:00:00,0.8159012582665257,0.8127104043960571,False
2001-01-31 15:00:00,0.8079269457512832,0.8102625012397766,False
2001-01-31 18:00:00,0.8138691969974063,0.8102005124092102,False
2001-01-31 21:00:00,0.8235743344326103,0.8362115025520325,False
2001-02-01 00:00:00,0.8279380205019087,0.8326039910316467,False
2001-02-01 03:00:00,0.8327510953203308,0.8305200338363647,False
2001-02-01 06:00:00,0.8345159108791695,0.8343510627746582,False
2001-02-01 09:00:00,0.8296604926620681,0.8289454579353333,False
