Time,Current (A),ARIMA,Outlier
2004-02-14,11.826282960302732,,False
2004-02-15,11.804308624193794,-0.15850919364534655,False
2004-02-16,11.80360596556941,-0.15848914224545993,False
2004-02-17,11.239218172388057,-0.15847005767282366,False
2004-02-18,11.810166127516938,-0.1584529385153453,False
2004-02-19,11.811460636696346,-0.1584355402773647,False
2004-02-20,11.793734122728633,-0.1584190277428027,False
2004-02-21,11.789532741515258,-0.1584033447917022,False
2004-02-22,11.80041884971036,-0.15838842474064213,False
2004-02-23,11.795662521676094,-0.15837420400802524,False
2004-02-24,10.50608499925724,-0.1583606790961341,False
2004-02-25,11.783608318716835,-0.15835019337759912,False
2004-02-26,11.784249776773672,-0.15833773876837304,False
2004-02-27,11.773643386638772,-0.1583259928339223,False
2004-02-28,11.406236740709405,-0.15831483327440662,False
2004-02-29,11.772422311397241,-0.1583048912963932,False
2004-03-01,11.768852377104121,-0.1582947198004442,False
2004-03-02,11.758958230879465,-0.15828507687802082,False
2004-03-03,11.737859477008062,-0.15827591719060055,False
2004-03-04,11.726861487878466,-0.15826723762486575,False
2004-03-05,11.732412956468108,-0.15825899536407798,False
2004-03-06,11.527600318545575,-0.1582511395379282,False
2004-03-07,11.47367243447088,-0.15824404230885689,False
2004-03-08,11.786211407548269,-0.15823736983704262,False
2004-03-09,11.7655402570149,-0.15823043615348628,False
2004-03-10,11.722320778187886,-0.15822390191116648,False
2004-03-11,11.815446539598645,-0.1582177611511432,False
2004-03-12,11.805037845787904,-0.1582117405845316,False
2004-03-13,11.826666677114599,-0.1582060376911573,False
2004-03-14,11.875669934106035,-0.15820056900937154,False
2004-03-15,11.882435492446158,-0.15819527530125566,False
2004-03-16,11.862877415044697,-0.15819022864437746,False
2004-03-17,11.929120721035792,-0.1581854622427365,False
2004-03-18,11.221598922524564,-0.15818080150732736,False
2004-03-19,11.946329659493909,-0.15817768093553902,False
2004-03-20,11.917329027983053,-0.15817330904674426,False
2004-03-21,11.96806337589644,-0.15816926358622066,False
2004-03-22,11.926454028841713,-0.15816531691226415,False
2004-03-23,11.983727056777036,-0.1581616419934842,False
2004-03-24,12.000683684961414,-0.15815803480545385,False
2004-03-25,12.027442662024276,-0.1581545751435479,False
2004-03-26,12.030654192268662,-0.15815123430641465,False
2004-03-27,12.005459088833295,-0.15814805098499468,False
2004-03-28,12.063509951282516,-0.15814506815315166,False
2004-03-29,12.005464569608636,-0.15814211962282246,False
2004-03-30,12.031866282099235,-0.15813942574025888,False
