Time,Current (A),ARIMA
2004-02-14,11.826282960302732,
2004-02-15,11.804308624193794,-0.15850919364534655
2004-02-16,11.80360596556941,-0.15848914224545993
2004-02-17,11.239218172388057,-0.15847005767282363
2004-02-18,11.810166127516938,-0.1584529385153453
2004-02-19,11.811460636696346,-0.1584355402773647
2004-02-20,11.793734122728631,-0.1584190277428027
2004-02-21,11.789532741515258,-0.1584033447917022
2004-02-22,11.80041884971036,-0.15838842474064213
2004-02-23,11.795662521676096,-0.15837420400802524
2004-02-24,10.50608499925724,-0.1583606790961341
2004-02-25,11.783608318716835,-0.15835019337759912
2004-02-26,11.784249776773672,-0.15833773876837304
2004-02-27,11.773643386638772,-0.1583259928339223
2004-02-28,11.406236740709405,-0.15831483327440662
2004-02-29,11.772422311397241,-0.1583048912963932
2004-03-01,11.768852377104121,-0.1582947198004442
2004-03-02,11.758958230879465,-0.15828507687802082
2004-03-03,11.737859477008062,-0.15827591719060055
2004-03-04,11.726861487878466,-0.15826723762486575
2004-03-05,11.732412956468108,-0.15825899536407798
2004-03-06,11.527600318545574,-0.1582511395379282
2004-03-07,11.47367243447088,-0.15824404230885689
2004-03-08,11.786211407548269,-0.15823736983704262
2004-03-09,11.7655402570149,-0.15823043615348628
2004-03-10,11.722320778187886,-0.15822390191116648
2004-03-11,11.815446539598645,-0.1582177611511432
2004-03-12,11.805037845787904,-0.1582117405845316
2004-03-13,11.8266666771146,-0.1582060376911573
2004-03-14,11.875669934106035,-0.15820056900937157
2004-03-15,11.882435492446158,-0.15819527530125563
2004-03-16,11.862877415044697,-0.15819022864437746
2004-03-17,11.929120721035792,-0.1581854622427365
2004-03-18,11.221598922524564,-0.15818080150732736
2004-03-19,11.946329659493909,-0.15817768093553902
2004-03-20,11.917329027983051,-0.15817330904674423
2004-03-21,11.96806337589644,-0.15816926358622066
2004-03-22,11.926454028841711,-0.15816531691226415
2004-03-23,11.983727056777036,-0.1581616419934842
2004-03-24,12.000683684961414,-0.15815803480545385
2004-03-25,12.027442662024278,-0.1581545751435479
2004-03-26,12.030654192268662,-0.15815123430641465
2004-03-27,12.005459088833295,-0.15814805098499468
2004-03-28,12.063509951282516,-0.15814506815315163
2004-03-29,12.005464569608636,-0.15814211962282246
2004-03-30,12.031866282099235,-0.15813942574025888
2004-03-31,12.001987091791888,-0.1581368080005265
2004-04-01,11.947820503147664,-0.15813437411276338
2004-04-02,11.849861837198524,-0.15813215536291952
2004-04-03,11.85238895783838,-0.1581302203609688
2004-04-04,11.865613049605555,-0.15812836567791372
2004-04-05,11.676709208261109,-0.1581265762105312
2004-04-06,10.662262073425756,-0.1581252238731851
2004-04-07,9.647814938590397,-0.15812579845216101
2004-04-08,8.633367803755046,-0.1581281365581108
2004-04-09,7.618920668919696,-0.158132153110557
2004-04-10,6.604473534084335,-0.15813776713368496
2004-04-11,5.5900263992489805,-0.15814490155832128
2004-04-12,4.575579264413634,-0.15815348303345908
2004-04-13,3.5611321295782745,-0.1581634417468767
2004-04-14,2.5466849947429218,-0.1581747112544101
2004-04-15,1.5322378599075668,-0.1581872283174625
2004-04-16,0.5177907250722126,-0.15820093274835292
2004-04-17,0.040675138888888886,-0.158215767263126
2004-04-18,12.090541840233572,-0.1582306827160265
2004-04-19,12.005676761365507,-0.15822253302050573
2004-04-20,11.984761645151579,-0.15821596155339718
2004-04-21,12.082150385527385,-0.15820973859833332
2004-04-22,6.07555141111111,-0.15820363381124092
2004-04-23,11.81751832843647,-0.15820895034569463
2004-04-24,12.075073665072706,-0.15820286932516572
2004-04-25,11.990258456943224,-0.15819709477471736
2004-04-26,12.025188931650664,-0.15819177778304624
2004-04-27,11.776642822222223,-0.15818664541347
2004-04-28,11.973817722896195,-0.15818222370256796
2004-04-29,11.94754812794554,-0.158177629131799
2004-04-30,11.965585158112436,-0.15817332167072512
2004-05-01,0.051885694444444436,-0.1581691863924691
2004-05-02,3.2028104232772847,-0.1581873049629738
2004-05-03,4.598331252555234,-0.15819770056083848
2004-05-04,5.993852081833179,-0.15820528025744635
2004-05-05,7.389372911111123,-0.15821003015271456
2004-05-06,8.784893740389071,-0.15821208676894144
2004-05-07,10.180414569667015,-0.15821158004196473
2004-05-08,11.575935398944964,-0.15820863363893553
2004-05-09,11.843219296779036,-0.15820336526074769
2004-05-10,11.877468946626465,-0.15819797534832183
2004-05-11,11.795107466608664,-0.15819280487342288
2004-05-12,11.849627236475234,-0.15818803922206887
2004-05-13,11.863925331997025,-0.1581833955423008
2004-05-14,11.876098085458072,-0.15817895407902724
2004-05-15,11.867903802254872,-0.15817470557925523
2004-05-16,11.869976188289359,-0.15817067825257233
2004-05-17,11.887149762419504,-0.15816684068703113
2004-05-18,11.819595372334804,-0.15816315665054967
2004-05-19,11.849450435104457,-0.1581597768598227
2004-05-20,11.855767750672236,-0.15815649909924331
2004-05-21,11.810346708545946,-0.15815337032577073
2004-05-22,11.786277301698227,-0.1581504771136979
2004-05-23,11.841367264799723,-0.15814776416188514
2004-05-24,11.788545516985225,-0.15814507806762262
2004-05-25,11.79834386193213,-0.15814262403772258
2004-05-26,10.765644211423519,-0.15814026575785567
2004-05-27,11.471335620210082,-0.15813993366239176
2004-05-28,11.777512281876902,-0.15813822322293888
2004-05-29,11.799185351693485,-0.1581360887574588
2004-05-30,11.786023329435688,-0.1581340432699013
2004-05-31,11.796283986963616,-0.15813212267823268
2004-06-01,11.816185352811203,-0.15813027462871618
2004-06-02,11.80054892060193,-0.15812847977436353
2004-06-03,11.794868547294454,-0.15812680215333855
2004-06-04,12.714042755555539,-0.15812521464896584
2004-06-05,11.813748279255945,-0.15812200181459957
2004-06-06,11.777296935995608,-0.1581206888819959
2004-06-07,11.775912851141797,-0.15811942996107356
2004-06-08,11.75472868750204,-0.1581182312285178
2004-06-09,11.737491554618886,-0.15811712942297276
2004-06-10,11.766067259787595,-0.15811611087298608
2004-06-11,11.734166989154836,-0.15811508709698435
2004-06-12,11.723987901847794,-0.1581141741991506
2004-06-13,11.732604993726193,-0.15811332146417473
2004-06-14,11.759100445431715,-0.15811249304995084
2004-06-15,11.728358908524964,-0.1581116562929529
2004-06-16,11.723268703438528,-0.15811091906915523
2004-06-17,11.731848796262678,-0.15811022421200888
2004-06-18,11.766133120739227,-0.15810954656149542
2004-06-19,11.40500057777777,-0.15810883887397365
2004-06-20,11.723315047541089,-0.15810883672616705
2004-06-21,11.731192822575816,-0.1581082146594249
2004-06-22,10.957930927069505,-0.15810763517691662
2004-06-23,11.732709881287056,-0.15810851566660414
2004-06-24,11.72928268841059,-0.15810785355990448
2004-06-25,11.736238906728289,-0.15810729583566652
2004-06-26,11.085271517048543,-0.15810675184988607
2004-06-27,11.761079713337994,-0.15810743967241234
2004-06-28,11.738479213486974,-0.15810678782591628
2004-06-29,11.725247034618516,-0.15810626691446486
2004-06-30,11.713319872824245,-0.15810579369945502
2004-07-01,11.71357902181154,-0.15810536426335725
2004-07-02,11.791399350951231,-0.15810495404798883
2004-07-03,11.771749459077537,-0.15810441959634622
2004-07-04,11.713851665371628,-0.1581039539406664
2004-07-05,11.74585541503991,-0.15810361624546704
2004-07-06,11.780404229355376,-0.158103230662584
2004-07-07,11.744318851872961,-0.1581028024607077
2004-07-08,11.813199101733625,-0.15810246466022201
2004-07-09,11.789647344348314,-0.1581020125778284
2004-07-10,11.056935336394265,-0.15810163177740036
2004-07-11,12.084145461970241,-0.15810262362293048
2004-07-12,11.727093284061532,-0.1581016036973323
2004-07-13,11.813713007431689,-0.15810138152772416
2004-07-14,11.855691900023414,-0.1581009792797299
2004-07-15,11.816718402056464,-0.15810052612255865
2004-07-16,11.795596478827699,-0.15810017055062864
2004-07-17,11.853814281412232,-0.1580998679059429
2004-07-18,11.817979195585895,-0.15809947029647334
2004-07-19,11.80998490460186,-0.15809916316835512
2004-07-20,11.851105377473273,-0.15809888259821847
2004-07-21,11.809063701825831,-0.15809853876617075
2004-07-22,11.800187365121927,-0.1580982928511388
2004-07-23,11.188194988875587,-0.15809807164412482
2004-07-24,11.790234528546574,-0.15809899317792483
2004-07-25,11.820734622820813,-0.1580987036415172
2004-07-26,11.842158250947287,-0.15809842297592616
2004-07-27,11.870583819392186,-0.1580981187967049
2004-07-28,11.879829733410974,-0.15809777850304338
2004-07-29,11.898063293739677,-0.15809743993701425
2004-07-30,11.884745280214036,-0.1580970847425261
2004-07-31,11.87693877523691,-0.15809677289195095
2004-08-01,11.799113538157036,-0.15809648940049723
2004-08-02,11.848058901480409,-0.15809636297806778
2004-08-03,11.85040195370832,-0.1580961454155155
2004-08-04,11.851197892950752,-0.15809593818753492
2004-08-05,11.185733932884824,-0.15809573968372245
2004-08-06,9.977442124935287,-0.1580967826289115
2004-08-07,11.90257814859818,-0.15809995509142408
2004-08-08,11.857498697828436,-0.1580993079067556
2004-08-09,11.917078794701135,-0.15809893962063634
2004-08-10,11.88479645016929,-0.15809847497109403
2004-08-11,11.92069907230156,-0.15809809757714482
2004-08-12,11.919142416392127,-0.1580976691789914
2004-08-13,11.88535856250824,-0.158097267392939
2004-08-14,11.955980678813624,-0.15809694739351407
2004-08-15,12.003752481337367,-0.1580965092254443
2004-08-16,11.911044908107586,-0.15809600979345867
2004-08-17,11.928743436743293,-0.15809571013764964
2004-08-18,11.389866825779722,-0.15809538426900233
2004-08-19,11.940379722589386,-0.15809607311694526
2004-08-20,11.939895616174836,-0.15809566373610137
2004-08-21,11.95000798724415,-0.15809532196540224
2004-08-22,11.988892423768995,-0.1580949779234847
2004-08-23,11.896308415545224,-0.1580945793654849
2004-08-24,12.007646722840901,-0.15809437473015328
2004-08-25,11.977560005819962,-0.1580939659767756
2004-08-26,12.022345578560806,-0.158093642133541
2004-08-27,12.048588860548294,-0.1580932484471322
2004-08-28,12.058253074972795,-0.1580928289970063
2004-08-29,12.077500242361436,-0.15809241413291292
2004-08-30,12.071767040839179,-0.15809198448077214
2004-08-31,12.120382056010373,-0.15809158781134874
2004-09-01,12.065388518587264,-0.15809111980131182
2004-09-02,11.33790753968435,-0.15809078031303583
2004-09-03,12.055440528557662,-0.15809179911249474
2004-09-04,12.025569965193881,-0.1580913785133201
2004-09-05,11.938013595863696,-0.15809109470950464
2004-09-06,10.563277987492064,-0.15809098412028932
2004-09-07,11.998043703396805,-0.1580934160958738
2004-09-08,11.956592418103964,-0.158092957647519
2004-09-09,11.992182139351325,-0.15809272044335657
2004-09-10,11.997197254013992,-0.15809242526859787
2004-09-11,11.20889408587644,-0.15809213808730466
2004-09-12,11.99053060606856,-0.15809332437416707
2004-09-13,11.98784891416747,-0.15809293933479285
2004-09-14,12.058343226808958,-0.15809264451596755
2004-09-15,12.019012335455564,-0.15809223320352964
2004-09-16,12.043449280152238,-0.15809192055172833
2004-09-17,10.949365032627037,-0.15809157439446372
2004-09-18,8.636452857737572,-0.15809327222231384
2004-09-19,11.977591817902136,-0.15809907611096322
2004-09-20,12.022091888328452,-0.1580982180801206
2004-09-21,12.015087748327296,-0.1580976041018995
2004-09-22,11.994641793628462,-0.15809703650594945
2004-09-23,11.974042989757415,-0.15809653354225464
2004-09-24,11.029631545985609,-0.15809609122889004
2004-09-25,11.863051897767699,-0.1580974166464468
2004-09-26,11.847466596932206,-0.15809705485379444
2004-09-27,11.840137260070064,-0.1580968104629637
2004-09-28,11.138590615956886,-0.1580965901000081
2004-09-29,11.925180939775386,-0.15809767833818564
2004-09-30,11.904344614748553,-0.1580971982118231
2004-10-01,11.884417083201134,-0.15809684692109519
2004-10-02,11.930071957569838,-0.15809654768745063
2004-10-03,11.886476453807555,-0.15809617668090822
2004-10-04,11.838922813634275,-0.15809590816543323
2004-10-05,11.781418780975242,-0.15809573690923437
2004-10-06,11.699800550438239,-0.1580956763010591
2004-10-07,11.690383070247234,-0.15809576479038326
2004-10-08,11.702041946376035,-0.15809585948001068
2004-10-09,11.700877500369904,-0.15809592721687618
2004-10-10,11.69700830236076,-0.1580959948358617
