Time,Voltage (V),ARIMA
2001-01-22,31.98729306382573,
2001-01-23,32.038936122419244,0.2660895111851776
2001-01-24,32.050082734621014,0.2661068826696653
2001-01-25,32.104649718862404,0.26612259209021494
2001-01-26,32.10314560085123,0.2661368253729949
2001-01-27,32.13813191266658,0.26614969041644143
2001-01-28,32.20304861502544,0.2661613407290524
2001-01-29,32.21437636423877,0.2661719111051768
2001-01-30,32.21196648276741,0.2661814728825699
2001-01-31,32.24403995930498,0.2661901146454273
2001-02-01,32.53270183193024,0.2661979456290683
2001-02-02,32.55973454875186,0.26620519889046035
2001-02-03,32.54597965207161,0.26621177171172755
2001-02-04,32.54903446842686,0.266217704793948
2001-02-05,32.55486454204734,0.26622306975950943
2001-02-06,32.56250860809688,0.2662279228631628
2001-02-07,32.57665998568666,0.2662323143741866
2001-02-08,32.5740413469046,0.26623629257093173
2001-02-09,32.57543399294716,0.2662398870171645
2001-02-10,32.56044524543989,0.26624313700383173
2001-02-11,32.57583993532926,0.2662460657151383
2001-02-12,32.58912229572186,0.26624872238856345
2001-02-13,32.59850641524145,0.26625113188013205
2001-02-14,32.6015688934136,0.2662533155780521
2001-02-15,32.60245631011811,0.26625529135033854
2001-02-16,32.58441889551032,0.2662570778561013
2001-02-17,32.587312076279034,0.26625868183272766
2001-02-18,32.604284613800054,0.2662601334724729
2001-02-19,32.59317398648635,0.2662614559239568
2001-02-20,32.604153857431655,0.2662626446147299
2001-02-21,32.58668976719249,0.26626372575352675
2001-02-22,32.59912025033657,0.2662646924712118
2001-02-23,32.59533831356058,0.26626557383807575
2001-02-24,32.60456051993114,0.26626636824910177
2001-02-25,32.60235867539564,0.26626709192183107
2001-02-26,32.599168713301644,0.26626774474319925
2001-02-27,32.597276173891885,0.26626833292201063
2001-02-28,32.59338963965851,0.26626886345277234
2001-03-01,32.58999880631482,0.26626934066761593
2001-03-02,32.61109039343604,0.26626976998811946
2001-03-03,32.610847919960406,0.26627017082072174
2001-03-04,32.61836106723392,0.26627053300059933
2001-03-05,32.612614079175806,0.2662708649310573
2001-03-06,32.60328587763244,0.2662711614991039
2001-03-07,32.603937278320416,0.2662714239361421
2001-03-08,32.60250572590849,0.26627166155602344
2001-03-09,32.580847213469674,0.2662718754831735
2001-03-10,32.61632898598382,0.26627205576162505
2001-03-11,32.619851745272896,0.2662722401787635
2001-03-12,32.62047381278759,0.26627240901016824
2001-03-13,32.625141419936,0.26627256199892774
2001-03-14,32.63167029494581,0.2662727031134624
2001-03-15,32.62872385827385,0.2662728346200526
2001-03-16,32.62849033533404,0.2662729517116049
2001-03-17,32.62747978673599,0.2662730574135065
2001-03-18,32.62569732624545,0.2662731523500099
2001-03-19,32.63060686418699,0.2662732370884914
2001-03-20,32.63696685041897,0.2662733166555338
2001-03-21,32.63423739814658,0.2662733924250743
2001-03-22,32.6442873464507,0.26627345926519014
2001-03-23,32.64892199454101,0.26627352576188074
2001-03-24,32.64729412182085,0.2662735886732983
2001-03-25,32.64039213866911,0.26627364455667735
2001-03-26,32.64178847332447,0.266273690897712
2001-03-27,32.6332372127673,0.26627373363140017
2001-03-28,32.462495335967766,0.26627376708859135
2001-03-29,32.453264729348625,0.26627369407756973
2001-03-30,32.458187920808825,0.26627362249827013
2001-03-31,32.47465924410882,0.26627356077249653
2001-04-01,32.613888441202235,0.2662735149372641
2001-04-02,32.596740070875384,0.2662735577024222
2001-04-03,32.61380237219246,0.26627358598905937
2001-04-04,32.606732520811825,0.2662736218765592
2001-04-05,32.61255477761124,0.2662736500411076
2001-04-06,32.60971210785581,0.26627367902096266
2001-04-07,32.60695554978975,0.2662737034977894
2001-04-08,32.58590509494483,0.2662737239562474
2001-04-09,32.573114345760246,0.26627372971934365
2001-04-10,32.5805451454601,0.2662737271937517
2001-04-11,32.58056673523197,0.26627372940447
2001-04-12,32.57757687489467,0.26627373141587124
2001-04-13,32.57911958545018,0.26627373142596383
2001-04-14,32.61853351359929,0.26627373236802293
2001-04-15,32.60639332486042,0.26627375705469175
2001-04-16,32.61061988132712,0.2662737720281932
2001-04-17,32.619661125363564,0.26627378811922153
2001-04-18,32.61323094914316,0.26627380813204693
2001-04-19,32.5986922628212,0.26627382233376173
2001-04-20,32.609497312847054,0.2662738263790858
2001-04-21,32.628378069858414,0.26627383657002157
2001-04-22,32.63758267044158,0.26627385719987784
2001-04-23,32.64612865836206,0.2662738814142954
2001-04-24,32.644084795605835,0.26627390847063426
2001-04-25,32.64658363867073,0.26627393169179703
2001-04-26,32.6394106024159,0.26627395419335864
2001-04-27,32.63495360536559,0.2662739701954927
2001-04-28,32.642402240099884,0.26627398196506114
2001-04-29,32.63898198663267,0.2662739971084571
2001-04-30,32.63660776817004,0.26627400872874085
2001-05-01,32.63682017744791,0.2662740177969384
2001-05-02,32.63757554739158,0.2662740261224491
2001-05-03,32.63516059879185,0.2662740341049686
2001-05-04,32.63877604298775,0.26627403986023357
2001-05-05,32.64319658162709,0.2662740472490148
2001-05-06,32.65075147752273,0.2662740566012596
2001-05-07,32.6426197537975,0.26627406962381284
2001-05-08,32.653720173214886,0.266274076477787
2001-05-09,32.656503701001085,0.26627408938618025
2001-05-10,32.649445625819695,0.26627410273783103
2001-05-11,32.64418460382144,0.2662741105385642
2001-05-12,32.61743519810766,0.2662741144083768
2001-05-13,32.65821411805692,0.26627410173004684
2001-05-14,32.65820159624956,0.26627411493023545
2001-05-15,32.65639223337428,0.26627412685477214
2001-05-16,32.657589735801324,0.2662741365395842
2001-05-17,32.65911414899091,0.26627414601819777
