Time,Voltage (V),ARIMA,Outlier
2001-01-22,31.98729306382573,,False
2001-01-23,32.038936122419244,0.2660895111851776,True
2001-01-24,32.05008273462101,0.2661068826696653,True
2001-01-25,32.104649718862404,0.2661225920902149,True
2001-01-26,32.10314560085123,0.2661368253729949,True
2001-01-27,32.13813191266658,0.26614969041644143,True
2001-01-28,32.20304861502544,0.2661613407290524,True
2001-01-29,32.21437636423877,0.2661719111051768,True
2001-01-30,32.21196648276741,0.2661814728825699,True
2001-01-31,32.244039959304985,0.2661901146454273,True
2001-02-01,32.53270183193024,0.2661979456290683,True
2001-02-02,32.55973454875186,0.26620519889046035,True
2001-02-03,32.54597965207161,0.26621177171172755,True
2001-02-04,32.54903446842685,0.266217704793948,True
2001-02-05,32.55486454204734,0.26622306975950943,True
2001-02-06,32.562508608096884,0.2662279228631628,True
2001-02-07,32.57665998568666,0.2662323143741866,True
2001-02-08,32.5740413469046,0.2662362925709317,True
2001-02-09,32.57543399294716,0.2662398870171645,True
2001-02-10,32.560445245439894,0.2662431370038317,True
2001-02-11,32.57583993532926,0.2662460657151383,True
2001-02-12,32.58912229572186,0.26624872238856345,True
2001-02-13,32.59850641524145,0.26625113188013205,True
2001-02-14,32.6015688934136,0.2662533155780521,True
2001-02-15,32.60245631011811,0.2662552913503385,True
2001-02-16,32.58441889551032,0.2662570778561013,True
2001-02-17,32.587312076279034,0.2662586818327277,True
2001-02-18,32.60428461380005,0.2662601334724729,True
2001-02-19,32.593173986486356,0.2662614559239568,True
2001-02-20,32.60415385743165,0.2662626446147299,True
2001-02-21,32.58668976719249,0.26626372575352675,True
2001-02-22,32.59912025033657,0.2662646924712118,True
2001-02-23,32.595338313560575,0.2662655738380757,True
2001-02-24,32.60456051993114,0.26626636824910177,True
2001-02-25,32.60235867539564,0.2662670919218311,True
2001-02-26,32.599168713301644,0.26626774474319925,True
2001-02-27,32.597276173891885,0.26626833292201063,True
2001-02-28,32.59338963965851,0.26626886345277234,True
2001-03-01,32.589998806314824,0.26626934066761593,True
2001-03-02,32.611090393436044,0.26626976998811946,True
2001-03-03,32.610847919960406,0.2662701708207217,True
2001-03-04,32.61836106723392,0.2662705330005993,True
2001-03-05,32.61261407917581,0.2662708649310573,True
2001-03-06,32.603285877632445,0.2662711614991039,True
2001-03-07,32.603937278320416,0.2662714239361421,True
2001-03-08,32.602505725908486,0.26627166155602344,True
2001-03-09,32.580847213469674,0.2662718754831735,True
2001-03-10,32.61632898598382,0.26627205576162505,True
2001-03-11,32.619851745272896,0.2662722401787635,True
2001-03-12,32.62047381278759,0.26627240901016824,True
2001-03-13,32.625141419936,0.2662725619989277,True
2001-03-14,32.631670294945806,0.2662727031134624,True
2001-03-15,32.62872385827385,0.2662728346200526,True
2001-03-16,32.628490335334035,0.2662729517116049,True
2001-03-17,32.62747978673599,0.2662730574135065,True
2001-03-18,32.62569732624545,0.2662731523500099,True
2001-03-19,32.63060686418699,0.2662732370884914,True
2001-03-20,32.636966850418965,0.2662733166555338,True
2001-03-21,32.634237398146574,0.2662733924250743,True
2001-03-22,32.6442873464507,0.2662734592651901,True
2001-03-23,32.64892199454101,0.26627352576188074,True
2001-03-24,32.64729412182085,0.2662735886732983,True
2001-03-25,32.64039213866911,0.2662736445566773,True
2001-03-26,32.64178847332447,0.266273690897712,True
2001-03-27,32.6332372127673,0.26627373363140017,True
2001-03-28,32.462495335967766,0.2662737670885913,True
2001-03-29,32.453264729348625,0.2662736940775697,True
2001-03-30,32.458187920808825,0.2662736224982701,True
2001-03-31,32.47465924410882,0.2662735607724965,True
2001-04-01,32.613888441202235,0.2662735149372641,True
2001-04-02,32.596740070875384,0.2662735577024222,True
2001-04-03,32.61380237219246,0.26627358598905937,True
2001-04-04,32.606732520811825,0.2662736218765592,True
2001-04-05,32.61255477761124,0.2662736500411076,True
2001-04-06,32.609712107855806,0.26627367902096266,True
2001-04-07,32.606955549789745,0.2662737034977894,True
2001-04-08,32.58590509494483,0.2662737239562474,True
2001-04-09,32.57311434576025,0.26627372971934365,True
2001-04-10,32.5805451454601,0.2662737271937517,True
2001-04-11,32.58056673523197,0.26627372940446997,True
2001-04-12,32.577576874894675,0.26627373141587124,True
2001-04-13,32.57911958545018,0.26627373142596383,True
2001-04-14,32.61853351359929,0.2662737323680229,True
2001-04-15,32.60639332486042,0.2662737570546917,True
2001-04-16,32.61061988132712,0.2662737720281932,True
2001-04-17,32.619661125363564,0.26627378811922153,True
2001-04-18,32.61323094914316,0.2662738081320469,True
2001-04-19,32.598692262821196,0.2662738223337617,True
2001-04-20,32.609497312847054,0.2662738263790858,True
2001-04-21,32.62837806985841,0.2662738365700216,True
2001-04-22,32.63758267044158,0.26627385719987784,True
2001-04-23,32.64612865836206,0.2662738814142954,True
2001-04-24,32.644084795605835,0.26627390847063426,True
2001-04-25,32.646583638670734,0.26627393169179703,True
2001-04-26,32.6394106024159,0.26627395419335864,True
2001-04-27,32.63495360536559,0.2662739701954927,True
2001-04-28,32.64240224009989,0.26627398196506114,True
2001-04-29,32.63898198663267,0.2662739971084571,True
2001-04-30,32.63660776817004,0.26627400872874085,True
2001-05-01,32.63682017744791,0.2662740177969384,True
2001-05-02,32.63757554739158,0.2662740261224491,True
2001-05-03,32.63516059879185,0.2662740341049686,True
2001-05-04,32.63877604298775,0.2662740398602336,True
2001-05-05,32.64319658162709,0.2662740472490148,True
2001-05-06,32.65075147752273,0.2662740566012596,True
2001-05-07,32.6426197537975,0.26627406962381284,True
2001-05-08,32.653720173214886,0.26627407647778695,True
