Time,Temperature (C),ARIMA,Outlier
2004-02-13,3.5891319441486025,,False
2004-02-14,3.5045302817424653,3.589131944148603,False
2004-02-15,3.5839980086522174,3.5045302817424653,False
2004-02-16,3.552158891233093,3.5839980086522174,False
2004-02-17,3.1328778442690304,3.552158891233093,False
2004-02-18,3.0810270014036054,3.1328778442690313,False
2004-02-19,2.9732742762311557,3.0810270014036054,False
2004-02-20,3.0883147396663113,2.9732742762311557,False
2004-02-21,3.2110809626343144,3.0883147396663113,False
2004-02-22,3.1736106010606493,3.2110809626343144,False
2004-02-23,3.0946128546766043,3.1736106010606493,False
2004-02-24,2.5742131102273462,3.0946128546766043,False
2004-02-25,2.672056016602152,2.5742131102273467,False
2004-02-26,2.5145545578942596,2.672056016602152,False
2004-02-27,2.406350289019173,2.5145545578942596,False
2004-02-28,2.125045084284555,2.406350289019173,False
2004-02-29,2.0574314064731447,2.125045084284555,False
2004-03-01,2.0612924663722154,2.0574314064731447,False
2004-03-02,1.9079980273026784,2.0612924663722154,False
2004-03-03,1.8151153419728887,1.9079980273026784,False
2004-03-04,1.6698001114676864,1.8151153419728887,False
2004-03-05,1.4450914903607968,1.6698001114676864,False
2004-03-06,1.2947979526935072,1.4450914903607968,False
2004-03-07,2.0345735745327187,1.2947979526935072,False
2004-03-08,1.7116118795714874,2.0345735745327187,False
2004-03-09,1.5881232918398076,1.7116118795714876,False
2004-03-10,1.6235449535629265,1.5881232918398076,False
2004-03-11,1.898343128043784,1.6235449535629265,False
2004-03-12,2.0260182310141084,1.898343128043784,False
2004-03-13,2.0584840522963463,2.0260182310141084,False
2004-03-14,2.0364326357835894,2.0584840522963463,False
2004-03-15,2.3933360597212183,2.0364326357835894,False
2004-03-16,2.103680724427416,2.3933360597212183,False
2004-03-17,2.3227388657298937,2.103680724427416,False
2004-03-18,2.18027825984052,2.3227388657298937,False
2004-03-19,2.3581610914669526,2.18027825984052,False
2004-03-20,2.3983106162210324,2.3581610914669526,False
2004-03-21,2.287630399530229,2.3983106162210324,False
2004-03-22,2.439541994623896,2.287630399530229,False
2004-03-23,2.4707610647174496,2.439541994623896,False
2004-03-24,2.4237729762839604,2.4707610647174496,False
2004-03-25,2.377468011990457,2.4237729762839604,False
2004-03-26,2.57508323358025,2.377468011990457,False
2004-03-27,2.5226043434238443,2.57508323358025,False
2004-03-28,2.5877733664566622,2.5226043434238443,False
2004-03-29,2.6536597888649656,2.5877733664566622,False
2004-03-30,2.597847676088397,2.6536597888649656,False
2004-03-31,2.750876529741909,2.597847676088397,False
2004-04-01,2.595285921004599,2.750876529741909,False
2004-04-02,3.9244581025133978,2.595285921004599,False
2004-04-03,3.97847685930092,3.9244581025133978,False
2004-04-04,3.9148356673649856,3.97847685930092,False
2004-04-05,4.0521964528623124,3.9148356673649856,False
2004-04-06,3.9814022849853257,4.0521964528623124,False
2004-04-07,3.910608117108339,3.9814022849853257,False
2004-04-08,3.839813949231351,3.910608117108339,False
2004-04-09,3.769019781354365,3.839813949231351,False
2004-04-10,3.6982256134773777,3.769019781354365,False
2004-04-11,3.6274314456003904,3.6982256134773777,False
2004-04-12,3.5566372777234037,3.6274314456003904,False
2004-04-13,3.485843109846417,3.5566372777234037,False
2004-04-14,3.4150489419694297,3.485843109846417,False
2004-04-15,3.3442547740924438,3.4150489419694297,False
2004-04-16,3.273460606215456,3.3442547740924438,False
2004-04-17,3.202666438338469,3.273460606215456,False
2004-04-18,2.8173017279792436,3.202666438338469,False
2004-04-19,2.6937483684915366,2.8173017279792436,False
2004-04-20,2.615881596420889,2.6937483684915366,False
2004-04-21,2.8509796362751554,2.615881596420889,False
2004-04-22,2.712329502642069,2.8509796362751554,False
2004-04-23,2.7196923417179915,2.712329502642069,False
2004-04-24,2.7410992063737023,2.7196923417179915,False
2004-04-25,2.849391927681797,2.7410992063737023,False
2004-04-26,2.6543495619987514,2.849391927681797,False
2004-04-27,2.6842374843183667,2.6543495619987514,False
2004-04-28,2.5413744259630446,2.6842374843183667,False
2004-04-29,2.565828700907253,2.5413744259630446,False
2004-04-30,2.5030190028302988,2.565828700907253,False
2004-05-01,3.815598571281284,2.5030190028302988,False
2004-05-02,3.654488090310297,3.815598571281284,False
2004-05-03,3.49337760933931,3.6544880903102976,False
2004-05-04,3.3322671283683234,3.4933776093393103,False
2004-05-05,3.171156647397336,3.3322671283683234,False
2004-05-06,3.010046166426347,3.1711566473973365,False
2004-05-07,2.848935685455362,3.010046166426348,False
2004-05-08,2.6878252044843727,2.848935685455362,False
2004-05-09,2.2942296896974472,2.687825204484373,False
2004-05-10,2.2906193007607567,2.2942296896974472,False
2004-05-11,2.217555770740463,2.2906193007607567,False
2004-05-12,2.365876180855567,2.217555770740463,False
2004-05-13,2.388680315190092,2.365876180855567,False
2004-05-14,2.351816145993914,2.388680315190092,False
2004-05-15,2.2770740609683604,2.351816145993914,False
2004-05-16,2.2864166083201782,2.2770740609683604,False
2004-05-17,2.1662958623823303,2.2864166083201782,False
2004-05-18,2.3665182428779445,2.1662958623823303,False
2004-05-19,2.2513146125397654,2.3665182428779445,False
2004-05-20,2.257917684912045,2.2513146125397654,False
2004-05-21,2.160314051030572,2.257917684912045,False
2004-05-22,2.0176251296575765,2.160314051030572,False
2004-05-23,2.2135314827942145,2.0176251296575765,False
2004-05-24,2.235534314677361,2.2135314827942145,False
2004-05-25,2.055188540458457,2.235534314677361,False
2004-05-26,2.0599814919465738,2.055188540458457,False
2004-05-27,2.1187460422039384,2.0599814919465738,False
2004-05-28,2.113748105994517,2.1187460422039384,False
