Time,Voltage (V),ARIMA,Outlier
2001-01-22,31.98729306382573,,False
2001-01-23,32.038936122419244,-0.03017095741993873,True
2001-01-24,32.05008273462101,-0.030157459573608807,True
2001-01-25,32.104649718862404,-0.030144972540633926,True
2001-01-26,32.10314560085123,-0.030133400483596706,True
2001-01-27,32.13813191266658,-0.030122700056188174,True
2001-01-28,32.20304861502544,-0.03011278905028559,True
2001-01-29,32.21437636423877,-0.030103594430477342,True
2001-01-30,32.21196648276741,-0.03009508666742363,True
2001-01-31,32.244039959304985,-0.030087220318175987,True
2001-02-01,32.53270183193024,-0.030079931414891826,True
2001-02-02,32.55973454875186,-0.03007305972546152,True
2001-02-03,32.54597965207161,-0.03006669291502938,True
2001-02-04,32.54903446842685,-0.030060811547181387,True
2001-02-05,32.55486454204734,-0.030055371436161632,True
2001-02-06,32.562508608096884,-0.030050338108763057,True
2001-02-07,32.57665998568666,-0.030045680123802317,True
2001-02-08,32.5740413469046,-0.030041366270552438,True
2001-02-09,32.57543399294716,-0.030037378280667014,True
2001-02-10,32.560445245439894,-0.030033689803288407,True
2001-02-11,32.57583993532926,-0.030030285751382956,True
2001-02-12,32.58912229572186,-0.030027130891024482,True
2001-02-13,32.59850641524145,-0.030024207428711033,True
2001-02-14,32.6015688934136,-0.030021499722886924,True
2001-02-15,32.60245631011811,-0.03001899441209844,True
2001-02-16,32.58441889551032,-0.030016677253429262,True
2001-02-17,32.587312076279034,-0.03001454269864104,True
2001-02-18,32.60428461380005,-0.030012567479113544,True
2001-02-19,32.593173986486356,-0.030010733195439482,True
2001-02-20,32.60415385743165,-0.03000904202090225,True
2001-02-21,32.58668976719249,-0.030007473131496033,True
2001-02-22,32.59912025033657,-0.030006030268403292,True
2001-02-23,32.595338313560575,-0.030004690341730412,True
2001-02-24,32.60456051993114,-0.030003452982395123,True
2001-02-25,32.60235867539564,-0.030002304552816838,True
2001-02-26,32.599168713301644,-0.03000124355893393,True
2001-02-27,32.597276173891885,-0.03000026386980352,True
2001-02-28,32.59338963965851,-0.029999358775777963,True
2001-03-01,32.589998806314824,-0.02999852357009849,True
2001-03-02,32.611090393436044,-0.0299977527672039,True
2001-03-03,32.610847919960406,-0.02999703037818232,True
2001-03-04,32.61836106723392,-0.029996362468284257,True
2001-03-05,32.61261407917581,-0.029995741407740795,True
2001-03-06,32.603285877632445,-0.029995169705159037,True
2001-03-07,32.603937278320416,-0.02999464527552493,True
2001-03-08,32.602505725908486,-0.02999416001930445,True
2001-03-09,32.580847213469674,-0.02999371193614885,True
2001-03-10,32.61632898598382,-0.02999330743348608,True
2001-03-11,32.619851745272896,-0.029992917227150563,True
2001-03-12,32.62047381278759,-0.029992554785514488,True
2001-03-13,32.625141419936,-0.02999221933902515,True
2001-03-14,32.631670294945806,-0.029991907014861294,True
2001-03-15,32.62872385827385,-0.02999161522572835,True
2001-03-16,32.628490335334035,-0.029991346738265173,True
2001-03-17,32.62747978673599,-0.029991098564100618,True
2001-03-18,32.62569732624545,-0.029990869528025564,True
2001-03-19,32.63060686418699,-0.02999065854095275,True
2001-03-20,32.636966850418965,-0.029990461198982913,True
2001-03-21,32.634237398146574,-0.029990275815062063,True
2001-03-22,32.6442873464507,-0.029990105625745375,True
2001-03-23,32.64892199454101,-0.029989943671623526,True
2001-03-24,32.64729412182085,-0.029989791797365186,True
2001-03-25,32.64039213866911,-0.02998965209436965,True
2001-03-26,32.64178847332447,-0.02998952604681293,True
2001-03-27,32.6332372127673,-0.02998940885044017,True
2001-03-28,32.462495335967766,-0.029989304366178693,True
2001-03-29,32.453264729348625,-0.029989285449230775,True
2001-03-30,32.458187920808825,-0.029989272156810787,True
2001-03-31,32.47465924410882,-0.029989257624296987,True
2001-04-01,32.613888441202235,-0.02998923668953841,True
2001-04-02,32.596740070875384,-0.029989153968034088,True
2001-04-03,32.61380237219246,-0.02998908527646959,True
2001-04-04,32.606732520811825,-0.029989013989852188,True
2001-04-05,32.61255477761124,-0.0299889512858854,True
2001-04-06,32.609712107855806,-0.029988890651499237,True
2001-04-07,32.606955549789745,-0.02998883587428652,True
2001-04-08,32.58590509494483,-0.029988786474233142,True
2001-04-09,32.57311434576025,-0.02998875037208032,True
2001-04-10,32.5805451454601,-0.029988722808054574,True
2001-04-11,32.58056673523197,-0.029988693936853737,True
2001-04-12,32.577576874894675,-0.029988667228744617,True
2001-04-13,32.57911958545018,-0.029988643891419975,True
2001-04-14,32.61853351359929,-0.029988621608441342,True
2001-04-15,32.60639332486042,-0.02998858306549905,True
2001-04-16,32.61061988132712,-0.02998855294831756,True
2001-04-17,32.619661125363564,-0.029988523174348962,True
2001-04-18,32.61323094914316,-0.02998849152662768,True
2001-04-19,32.598692262821196,-0.02998846518712462,True
2001-04-20,32.609497312847054,-0.029988447446463142,True
2001-04-21,32.62837806985841,-0.029988426123695695,True
2001-04-22,32.63758267044158,-0.029988397813215988,True
2001-04-23,32.64612865836206,-0.029988367444495283,True
2001-04-24,32.644084795605835,-0.029988335472172355,True
2001-04-25,32.646583638670734,-0.029988306836313827,True
2001-04-26,32.6394106024159,-0.029988279218451888,True
2001-04-27,32.63495360536559,-0.029988256943582123,True
2001-04-28,32.64240224009989,-0.02998823837352525,True
2001-04-29,32.63898198663267,-0.029988217811268574,True
2001-04-30,32.63660776817004,-0.029988200353113757,True
2001-05-01,32.63682017744791,-0.029988185289394426,True
2001-05-02,32.63757554739158,-0.02998817126274125,True
2001-05-03,32.63516059879185,-0.029988157948004038,True
2001-05-04,32.63877604298775,-0.02998814673439464,True
