Time,Voltage (V),ARIMA
2001-01-22,31.98729306382573,
2001-01-23,32.038936122419244,-0.030170957419938735
2001-01-24,32.050082734621014,-0.030157459573608804
2001-01-25,32.104649718862404,-0.030144972540633926
2001-01-26,32.10314560085123,-0.030133400483596702
2001-01-27,32.13813191266658,-0.030122700056188174
2001-01-28,32.20304861502544,-0.03011278905028559
2001-01-29,32.21437636423877,-0.030103594430477346
2001-01-30,32.21196648276741,-0.03009508666742363
2001-01-31,32.24403995930498,-0.03008722031817599
2001-02-01,32.53270183193024,-0.030079931414891826
2001-02-02,32.55973454875186,-0.030073059725461516
2001-02-03,32.54597965207161,-0.030066692915029385
2001-02-04,32.54903446842686,-0.03006081154718139
2001-02-05,32.55486454204734,-0.030055371436161632
2001-02-06,32.56250860809688,-0.030050338108763057
2001-02-07,32.57665998568666,-0.03004568012380232
2001-02-08,32.5740413469046,-0.03004136627055244
2001-02-09,32.57543399294716,-0.030037378280667014
2001-02-10,32.56044524543989,-0.030033689803288403
2001-02-11,32.57583993532926,-0.030030285751382953
2001-02-12,32.58912229572186,-0.030027130891024482
2001-02-13,32.59850641524145,-0.03002420742871103
2001-02-14,32.6015688934136,-0.030021499722886924
2001-02-15,32.60245631011811,-0.03001899441209844
2001-02-16,32.58441889551032,-0.030016677253429262
2001-02-17,32.587312076279034,-0.03001454269864104
2001-02-18,32.604284613800054,-0.030012567479113544
2001-02-19,32.59317398648635,-0.030010733195439482
2001-02-20,32.604153857431655,-0.030009042020902252
2001-02-21,32.58668976719249,-0.03000747313149603
2001-02-22,32.59912025033657,-0.030006030268403296
2001-02-23,32.59533831356058,-0.030004690341730415
2001-02-24,32.60456051993114,-0.030003452982395123
2001-02-25,32.60235867539564,-0.030002304552816834
2001-02-26,32.599168713301644,-0.03000124355893393
2001-02-27,32.597276173891885,-0.03000026386980352
2001-02-28,32.59338963965851,-0.02999935877577796
2001-03-01,32.58999880631482,-0.02999852357009849
2001-03-02,32.61109039343604,-0.0299977527672039
2001-03-03,32.610847919960406,-0.029997030378182313
2001-03-04,32.61836106723392,-0.029996362468284257
