Time,Temperature (C),ARIMA
2004-02-13,24.11841721822566,
2004-02-14,24.113869361939393,0.11105469517805053
2004-02-15,24.09514201919595,0.11112295890834993
2004-02-16,24.039949949862628,0.1111885748820992
2004-02-17,23.964935806224396,0.11125153585913934
2004-02-18,23.957020189326055,0.11131188407357179
2004-02-19,23.89317551760588,0.11136991711262174
2004-02-20,23.82627513740792,0.11142555756344764
2004-02-21,23.751849580932685,0.11147888725826093
2004-02-22,23.751849580932685,0.11152997170831978
2004-02-23,23.750342009678814,0.11157911620033653
2004-02-24,23.687086986822933,0.11162638995242044
2004-02-25,23.543315805870307,0.11167168147223402
2004-02-26,23.418224432861813,0.11171482801722568
2004-02-27,23.38700992928352,0.11175596626788081
2004-02-28,23.386550856279925,0.11179545001087374
2004-02-29,23.38700992928352,0.11183343299798174
2004-03-01,23.374834284215787,0.11186997493717953
2004-03-02,23.21936803729101,0.11190509320395256
2004-03-03,23.091520076725185,0.11193841827080928
2004-03-04,23.023820245276514,0.11197009988092786
2004-03-05,23.023820245276514,0.11200037825479357
2004-03-06,23.023820245276514,0.11202950681443657
2004-03-07,23.01919795881242,0.11205752922528109
2004-03-08,22.92952780424606,0.11208447383010806
2004-03-09,22.78391293074414,0.11211013014320373
2004-03-10,22.69111841892525,0.1121343817057956
2004-03-11,22.66220251090999,0.11215743800969946
2004-03-12,22.66220251090999,0.11217953328127783
2004-03-13,22.66220251090999,0.1122007894964866
2004-03-14,22.653244753065174,0.11222123851890833
2004-03-15,22.606580319035228,0.11224088452139214
2004-03-16,22.41059188984608,0.11225964653163166
2004-03-17,22.31057578133796,0.11227711669275395
2004-03-18,22.302148176508453,0.1122936277722906
2004-03-19,22.302078708182307,0.11230948694185397
2004-03-20,22.28216505953112,0.11232474366580632
2004-03-21,22.12067440076386,0.11233936215942156
2004-03-22,21.986657876126902,0.11235294813470335
2004-03-23,21.9433708190918,0.1123656220189169
2004-03-24,21.9433708190918,0.11237768665919712
2004-03-25,21.913121939589754,0.11238929315491682
2004-03-26,21.65853718152082,0.11240036948348898
2004-03-27,21.586000825636802,0.11241027260483567
2004-03-28,21.586000825636802,0.11241958523470616
2004-03-29,21.45532660621548,0.11242854422574546
2004-03-30,21.23403043206444,0.11243677671339712
2004-03-31,21.229890709815663,0.11244404239300686
2004-04-01,21.218770373978682,0.11245101992722316
2004-04-02,21.229890709815663,0.112457699622482
2004-04-03,21.229890709815663,0.11246415853606359
2004-04-04,21.02356631933676,0.11247037217863899
2004-04-05,20.85567641275519,0.11247573993662002
2004-04-06,20.817370345368985,0.11248040754990819
2004-04-07,20.779064277982783,0.11248478467605873
2004-04-08,20.740758210596578,0.11248888234610294
2004-04-09,20.702452143210376,0.11249271117216769
2004-04-10,20.664146075824174,0.11249628136338413
2004-04-11,20.62584000843797,0.11249960274119206
2004-04-12,20.58753394105176,0.11250268475406307
2004-04-13,20.549227873665558,0.11250553649166462
2004-04-14,20.510921806279356,0.11250816669848596
2004-04-15,20.47261573889315,0.11251058378694678
2004-04-16,20.434309671506945,0.11251279585000783
2004-04-17,20.39600360412074,0.11251481067330271
2004-04-18,20.243089222689115,0.11251663574680884
2004-04-19,20.300841808835887,0.1125179394758635
2004-04-20,20.369460720887865,0.11251936442249898
2004-04-21,20.52113803906832,0.1125209381063143
2004-04-22,20.52113803906832,0.11252290041302704
2004-04-23,20.52113803906832,0.11252478820336435
2004-04-24,20.555594392824425,0.11252660430703364
2004-04-25,20.72770804327932,0.11252845330467824
2004-04-26,20.86150939530434,0.11253074088384507
2004-04-27,20.87496245362672,0.112533337132967
2004-04-28,20.87496245362672,0.11253587456238208
2004-04-29,20.87496245362672,0.11253831563636828
2004-04-30,20.87496245362672,0.11254066401391259
2004-05-01,20.897280145364533,0.11254292321505463
2004-05-02,20.941607698609292,0.11254516260076158
2004-05-03,20.985935251854052,0.11254744798812931
2004-05-04,21.03026280509881,0.11254977763034701
2004-05-05,21.07459035834357,0.11255214984693412
2004-05-06,21.118917911588333,0.11255456302122173
2004-05-07,21.1632454648331,0.11255701559792947
2004-05-08,21.207573018077856,0.11255950608083462
2004-05-09,21.238336466298758,0.1125620330305296
2004-05-10,21.255791993824587,0.11256455496464357
2004-05-11,21.282188598312178,0.11256703273335315
2004-05-12,21.367911580424334,0.11256949444501128
2004-05-13,21.371931991900876,0.11257211608744566
2004-05-14,21.345365459949804,0.11257465006194699
2004-05-15,21.346500720025,0.11257700927778097
2004-05-16,21.376921351467086,0.11257928226198273
2004-05-17,21.437129905710595,0.11258155886122063
2004-05-18,21.518597470279687,0.11258392699599759
2004-05-19,21.569300571453997,0.11258644603537163
2004-05-20,21.55667929949046,0.11258901930441362
2004-05-21,21.555345188128193,0.11259145754707646
2004-05-22,21.554893253384883,0.11259379925739635
2004-05-23,21.566441089946085,0.11259605070889574
2004-05-24,21.582313038131346,0.11259825080222123
2004-05-25,21.58454378802435,0.11260041427037576
2004-05-26,21.586000825636802,0.11260250217862854
2004-05-27,21.58102592798238,0.1126045151090378
2004-05-28,21.582576968021442,0.11260643689496502
2004-05-29,21.586000825636802,0.11260829028917636
2004-05-30,21.586000825636802,0.1126100834250853
2004-05-31,21.586000825636802,0.11261180846944986
2004-06-01,21.586000825636802,0.11261346800794222
2004-06-02,21.586000825636802,0.1126150645280475
2004-06-03,21.586000825636802,0.11261660042279222
2004-06-04,21.586000825636802,0.11261807799433131
2004-06-05,21.586000825636802,0.1126194994573988
2004-06-06,21.586000825636802,0.11262086694262749
2004-06-07,21.586196752168302,0.11262218249974258
