Time,Voltage (V),RRCF Anomaly Score,Outlier
2001-01-22 00:00:00,31.94395180459496,0.0,False
2001-01-22 03:00:00,32.10234417393596,1.0000000000000009,False
2001-01-22 06:00:00,31.988111256731447,1.3400000000000007,False
2001-01-22 09:00:00,31.945055288562752,1.5400000000000011,False
2001-01-22 12:00:00,31.86363950755425,1.6650000000000011,False
2001-01-22 15:00:00,32.04875995796195,1.5199999999999996,False
2001-01-22 18:00:00,32.135166395424555,2.254999999999997,False
2001-01-22 21:00:00,31.871316125839968,1.8783333333333343,False
2001-01-23 00:00:00,32.0293886200111,2.243333333333334,False
2001-01-23 03:00:00,31.981605287745804,1.8400000000000003,False
2001-01-23 06:00:00,32.120291679203746,2.4461666666666666,False
2001-01-23 09:00:00,32.01316452152572,2.000833333333333,False
2001-01-23 12:00:00,31.990306794142647,2.3851666666666667,False
2001-01-23 15:00:00,32.052746813468936,2.845333333333333,False
2001-01-23 18:00:00,31.947246646538463,2.044,False
2001-01-23 21:00:00,32.176738616717564,3.190190476190472,False
2001-01-24 00:00:00,31.99465528745412,2.136285714285714,False
2001-01-24 03:00:00,32.05939942603741,2.661166666666667,False
2001-01-24 06:00:00,32.013677509251146,2.808309523809522,False
2001-01-24 09:00:00,32.11356701319129,3.035571428571425,False
2001-01-24 12:00:00,32.078549730023376,2.8438333333333325,False
2001-01-24 15:00:00,32.0413941752983,3.069595238095236,False
2001-01-24 18:00:00,32.07852455995592,2.9426984126984115,False
2001-01-24 21:00:00,32.020894175756524,3.331889610389608,False
2001-01-25 00:00:00,32.16407668006365,4.984785714285713,False
2001-01-25 03:00:00,32.034199731014674,6.372634920634919,False
2001-01-25 06:00:00,32.0962541277758,7.656464285714284,False
2001-01-25 09:00:00,32.05220528616776,6.7204682539682485,False
2001-01-25 12:00:00,32.10435528500212,7.0195793650793625,False
2001-01-25 15:00:00,32.167454263183586,6.318458874458871,False
2001-01-25 18:00:00,32.084155285453626,7.034749999999996,False
2001-01-25 21:00:00,32.134497092238014,6.791342796092797,False
2001-01-26 00:00:00,32.06151639707077,7.692841269841264,False
2001-01-26 03:00:00,32.185616394296915,5.587206349206348,False
2001-01-26 06:00:00,32.08101140797289,7.012829365079362,False
2001-01-26 09:00:00,32.140871950852585,5.1568380230880235,False
2001-01-26 12:00:00,32.108745056561254,7.349123792873789,False
2001-01-26 15:00:00,32.104777759740145,6.478387029637027,False
2001-01-26 18:00:00,31.996155176729125,7.286442982456138,False
2001-01-26 21:00:00,32.146470663586165,4.848651265401268,False
2001-01-27 00:00:00,32.188401770823816,8.242007797757795,False
2001-01-27 03:00:00,31.75515487065269,8.177702380952379,False
2001-01-27 06:00:00,32.22194693806105,4.31365601065601,False
2001-01-27 09:00:00,32.14442614578448,4.841650029708854,False
2001-01-27 12:00:00,32.206849727155635,4.9063735439397185,False
2001-01-27 15:00:00,32.160860839294685,8.077332006486804,False
2001-01-27 18:00:00,32.26483750363729,5.604666206600417,False
2001-01-27 21:00:00,32.16257750592297,4.7449463615589735,False
2001-01-28 00:00:00,32.2220702430213,5.802228093801622,False
2001-01-28 03:00:00,32.18128354577333,4.838422253058406,False
2001-01-28 06:00:00,32.25750579630772,7.079091050254091,False
2001-01-28 09:00:00,32.148005284026475,4.7800664867042455,False
2001-01-28 12:00:00,32.237505282025985,5.900971454568823,False
2001-01-28 15:00:00,32.17498802198193,4.1822329725829706,False
2001-01-28 18:00:00,32.253077503900144,5.098347080370608,False
2001-01-28 21:00:00,32.14995324316661,4.022777035766164,False
2001-01-29 00:00:00,32.21848306022895,5.913862680180006,False
2001-01-29 03:00:00,32.213734534258,4.449335782716856,False
2001-01-29 06:00:00,32.1635719503452,6.647172030508839,False
2001-01-29 09:00:00,32.273683058995125,6.452580104106418,False
2001-01-29 12:00:00,32.13886023226117,6.666684815184812,False
2001-01-29 15:00:00,32.37006631970197,8.03902589191144,False
2001-01-29 18:00:00,32.16713425235094,4.1996712454212455,False
2001-01-29 21:00:00,32.169477505768754,8.618875901787026,False
2001-01-30 00:00:00,32.22009972685948,9.917564130314128,False
2001-01-30 03:00:00,32.24297089751944,11.677198602567024,False
2001-01-30 06:00:00,32.20270629290482,15.042795024420029,False
2001-01-30 09:00:00,32.17727975739259,13.998030201824315,False
2001-01-30 12:00:00,32.26050195329897,10.44204417985725,False
2001-01-30 15:00:00,32.152146037229585,10.722586088618982,False
2001-01-30 18:00:00,32.227566393359254,11.151820233129444,False
2001-01-30 21:00:00,32.21246080357514,10.786706526789342,False
2001-01-31 00:00:00,32.19183927551375,9.766135159869368,False
2001-01-31 03:00:00,32.243811948551695,8.535139583782602,False
2001-01-31 06:00:00,32.09517923301867,12.104318097361574,False
2001-01-31 09:00:00,32.28840805866601,11.395049536378995,False
2001-01-31 12:00:00,32.29205843357347,12.652417222093055,False
2001-01-31 15:00:00,32.171920470294445,11.074122686743024,False
2001-01-31 18:00:00,32.261444170379804,13.074702402722833,False
2001-01-31 21:00:00,32.40765808444196,11.875455248836136,False
2001-02-01 00:00:00,32.473399721197794,11.295231339851856,False
2001-02-01 03:00:00,32.54591167814575,10.331704185737614,False
2001-02-01 06:00:00,32.57249971898272,7.560858439340758,False
2001-02-01 09:00:00,32.49934983247458,7.306209174413653,False
2001-02-01 12:00:00,32.53013305326303,6.67705060360891,False
2001-02-01 15:00:00,32.569599719047545,6.4405310238751685,False
2001-02-01 18:00:00,32.573932322766645,6.307151566005205,False
2001-02-01 21:00:00,32.496788609563886,5.044303192537906,False
2001-02-02 00:00:00,32.5387867945662,6.78956869063605,False
