Time,Current (A),Autoencoder
2004-02-14,0.93017486158249,0.93017486158249
2004-02-15,0.928446509984857,0.928446509984857
2004-02-16,0.9283912436437023,0.9283912436437023
2004-02-17,0.8840003442238669,0.8840003442238669
2004-02-18,0.9289072212972037,0.9289072212972037
2004-02-19,0.929009038571559,0.929009038571559
2004-02-20,0.9276147917290298,0.9276147917290298
2004-02-21,0.9272843397009731,0.9272843397009731
2004-02-22,0.9281405668196325,0.9281405668196325
2004-02-23,0.9277664664547282,0.9277664664547282
2004-02-24,0.826337082645604,0.826337082645604
2004-02-25,0.9268183649585306,0.9268183649585306
2004-02-26,0.9268688176799167,0.9268688176799167
2004-02-27,0.9260345912785414,0.9260345912785414
2004-02-28,0.897136887142001,0.897136887142001
2004-02-29,0.9259385498175358,0.9259385498175358
2004-03-01,0.9256577631030535,0.9256577631030535
2004-03-02,0.9248795569561272,0.9162055253982544
2004-03-03,0.9232200726931705,0.919427752494812
2004-03-04,0.9223550457822935,0.9079141616821289
2004-03-05,0.9227916864870934,0.9067378044128418
2004-03-06,0.9066825194927447,0.9131633043289185
2004-03-07,0.9024409194673609,0.911005437374115
2004-03-08,0.9270231061947748,0.9107162356376648
2004-03-09,0.9253972542977189,0.9068707227706909
2004-03-10,0.9219979044875943,0.9052268862724304
2004-03-11,0.9293225425434217,0.9161413311958313
2004-03-12,0.9285038655882737,0.9130312204360962
2004-03-13,0.9302050421331807,0.9182505011558533
2004-03-14,0.9340593045368542,0.9223970770835876
2004-03-15,0.9345914372715161,0.9145408868789673
2004-03-16,0.9330531321251916,0.914618730545044
2004-03-17,0.9382633793506188,0.9140883088111877
2004-03-18,0.882614534045134,0.924479067325592
2004-03-19,0.9396169172290876,0.9186664819717407
2004-03-20,0.937335925095552,0.9218991994857788
2004-03-21,0.9413263433196232,0.9249566197395325
2004-03-22,0.9380536355071103,0.9117286205291748
2004-03-23,0.9425583417627424,0.9132540225982666
2004-03-24,0.9438920346337192,0.9140312671661377
2004-03-25,0.9459967134976605,0.9061524868011475
2004-03-26,0.9462493105909792,0.9109915494918823
2004-03-27,0.9442676353740732,0.9049249887466431
2004-03-28,0.94883352079426,0.9091038703918457
2004-03-29,0.9442680664545287,0.9162329435348511
2004-03-30,0.946344645320764,0.9138516783714294
2004-03-31,0.9439945517366999,0.9122274518013
2004-04-01,0.9397341768358404,0.9257142543792725
2004-04-02,0.9320294154289044,0.9154456257820129
2004-04-03,0.932228181524665,0.9204396605491638
2004-04-04,0.933268298505662,0.9208218455314636
2004-04-05,0.9184104090855636,0.92061448097229
2004-04-06,0.8386209074817501,0.9195106625556946
2004-04-07,0.7588314058779361,0.7910252213478088
2004-04-08,0.6790419042741226,0.7936111092567444
2004-04-09,0.5992524026703092,0.5653378963470459
2004-04-10,0.5194629010664951,0.6481229066848755
2004-04-11,0.43967339946268136,0.7602166533470154
2004-04-12,0.3598838978588683,0.663432240486145
2004-04-13,0.2800943962550542,0.7576007843017578
2004-04-14,0.20030489465124068,0.8544356226921082
