Time,Current (A),Autoencoder
2004-02-14,0.93017486158249,0.93017486158249
2004-02-15,0.928446509984857,0.928446509984857
2004-02-16,0.9283912436437023,0.9283912436437023
2004-02-17,0.8840003442238669,0.8840003442238669
2004-02-18,0.9289072212972037,0.9289072212972037
2004-02-19,0.929009038571559,0.929009038571559
2004-02-20,0.9276147917290298,0.9276147917290298
2004-02-21,0.9272843397009731,0.9272843397009731
2004-02-22,0.9281405668196325,0.9281405668196325
2004-02-23,0.9277664664547282,0.9277664664547282
2004-02-24,0.826337082645604,0.826337082645604
2004-02-25,0.9268183649585306,0.9268183649585306
2004-02-26,0.9268688176799167,0.9268688176799167
2004-02-27,0.9260345912785414,0.9260345912785414
2004-02-28,0.897136887142001,0.897136887142001
2004-02-29,0.9259385498175358,0.9259385498175358
2004-03-01,0.9256577631030535,0.9256577631030535
2004-03-02,0.9248795569561272,0.9015884399414062
2004-03-03,0.9232200726931705,0.9128902554512024
2004-03-04,0.9223550457822935,0.9024485945701599
2004-03-05,0.9227916864870934,0.8995312452316284
2004-03-06,0.9066825194927447,0.9179052114486694
2004-03-07,0.9024409194673609,0.9102194309234619
2004-03-08,0.9270231061947748,0.9162245988845825
2004-03-09,0.9253972542977189,0.9049873352050781
2004-03-10,0.9219979044875943,0.9034770727157593
2004-03-11,0.9293225425434217,0.919371485710144
2004-03-12,0.9285038655882737,0.9035148024559021
2004-03-13,0.9302050421331807,0.920436680316925
2004-03-14,0.9340593045368542,0.9133333563804626
2004-03-15,0.9345914372715161,0.9086040258407593
2004-03-16,0.9330531321251916,0.9093920588493347
2004-03-17,0.9382633793506188,0.906345009803772
2004-03-18,0.882614534045134,0.9154542684555054
2004-03-19,0.9396169172290876,0.9087706208229065
2004-03-20,0.937335925095552,0.9115704298019409
2004-03-21,0.9413263433196232,0.9264798164367676
2004-03-22,0.9380536355071103,0.9142956137657166
2004-03-23,0.9425583417627424,0.9139000773429871
2004-03-24,0.9438920346337192,0.9251248240470886
2004-03-25,0.9459967134976605,0.9105730056762695
2004-03-26,0.9462493105909792,0.9238473176956177
2004-03-27,0.9442676353740732,0.9035306572914124
2004-03-28,0.94883352079426,0.909295916557312
2004-03-29,0.9442680664545287,0.9206397533416748
2004-03-30,0.946344645320764,0.9112057685852051
2004-03-31,0.9439945517366999,0.9142571091651917
2004-04-01,0.9397341768358404,0.9217144846916199
2004-04-02,0.9320294154289044,0.9140654802322388
2004-04-03,0.932228181524665,0.9164796471595764
2004-04-04,0.933268298505662,0.9172496199607849
2004-04-05,0.9184104090855636,0.9157807230949402
2004-04-06,0.8386209074817501,0.9127489328384399
2004-04-07,0.7588314058779361,0.623055636882782
2004-04-08,0.6790419042741226,0.5097224712371826
2004-04-09,0.5992524026703092,0.3222193419933319
2004-04-10,0.5194629010664951,0.44354259967803955
2004-04-11,0.43967339946268136,0.46840426325798035
2004-04-12,0.3598838978588683,0.4732191562652588
2004-04-13,0.2800943962550542,0.47354158759117126
2004-04-14,0.20030489465124068,0.6973020434379578
2004-04-15,0.12051539304742694,0.5342929363250732
2004-04-16,0.04072589144361327,0.6057525277137756
2004-04-17,0.003199229361653314,0.35532185435295105
2004-04-18,0.9509596650483559,0.7804917097091675
2004-04-19,0.9442847560127557,0.4781387746334076
2004-04-20,0.9426397154370673,0.5527436137199402
2004-04-21,0.9502996503805179,0.6069539785385132
2004-04-22,0.4778614896867743,0.4677461087703705
2004-04-23,0.9294854953411792,0.644771158695221
2004-04-24,0.9497430437534412,0.3948412835597992
2004-04-25,0.9430720572104377,0.9141767621040344
2004-04-26,0.9458194504180134,0.8927099704742432
2004-04-27,0.9262705064505381,0.6357636451721191
2004-04-28,0.9417789410582331,0.781132161617279
2004-04-29,0.9397127536577561,0.7023448348045349
2004-04-30,0.9411314235893964,0.6260335445404053
2004-05-01,0.004080975299675819,0.7360219955444336
2004-05-02,0.2519112515865799,0.8615393042564392
2004-05-03,0.36167341426832494,0.8304920196533203
2004-05-04,0.47143557695006966,0.8719478249549866
2004-05-05,0.5811977396318143,0.6547815203666687
2004-05-06,0.6909599023135593,0.8864896297454834
2004-05-07,0.800722064995304,0.8546832799911499
2004-05-08,0.910484227677049,0.7312015295028687
2004-05-09,0.9315069584459289,0.9175041913986206
2004-05-10,0.9342008026075322,0.8486456274986267
2004-05-11,0.9277228096039448,0.8385990858078003
2004-05-12,0.9320109633340199,0.6890056133270264
2004-05-13,0.933135554134656,0.9041656255722046
2004-05-14,0.9340929800058037,0.9075192213058472
2004-05-15,0.9334484735053343,0.9065643548965454
2004-05-16,0.9336114732745133,0.9047841429710388
2004-05-17,0.9349622296358321,0.9140681028366089
2004-05-18,0.9296488614662007,0.9062910079956055
2004-05-19,0.9319970573424973,0.9107201099395752
2004-05-20,0.9324939343539433,0.8995403051376343
2004-05-21,0.9289214245708972,0.8988581299781799
2004-05-22,0.927028288979765,0.9033113121986389
2004-05-23,0.9313612902257632,0.9041728377342224
2004-05-24,0.9272066913440332,0.9028253555297852
2004-05-25,0.9279773624150128,0.905307948589325
2004-05-26,0.8467522422574326,0.908014178276062
2004-05-27,0.9022571215750834,0.9031878113746643
2004-05-28,0.9263388922245516,0.9024301171302795
2004-05-29,0.9280435482677375,0.9052860140800476
2004-05-30,0.9270083132515546,0.9029451608657837
2004-05-31,0.9278153466810627,0.9104318618774414
2004-06-01,0.9293806525582111,0.9103123545646667
2004-06-02,0.9281507973099707,0.9109753370285034
2004-06-03,0.9277040178381152,0.9116246700286865
2004-06-04,1.0,0.915607213973999
