Time,Current (A),Rolling Mean,Outlier
2004-02-14,11.826282960302732,11.763837845847053,False
2004-02-15,11.804308624193794,11.763837845847053,False
2004-02-16,11.80360596556941,11.763837845847053,False
2004-02-17,11.239218172388057,11.763837845847053,False
2004-02-18,11.810166127516938,11.763837845847053,False
2004-02-19,11.811460636696346,11.763837845847053,False
2004-02-20,11.793734122728633,11.763837845847053,False
2004-02-21,11.789532741515258,11.763837845847053,False
2004-02-22,11.80041884971036,11.763837845847053,False
2004-02-23,11.795662521676094,11.763837845847053,False
2004-02-24,10.50608499925724,11.763837845847053,False
2004-02-25,11.783608318716835,11.763837845847053,False
2004-02-26,11.784249776773672,11.763837845847053,False
2004-02-27,11.773643386638772,11.763837845847053,False
2004-02-28,11.406236740709405,11.763837845847053,False
2004-02-29,11.772422311397241,11.763837845847053,False
2004-03-01,11.768852377104121,11.763837845847053,False
2004-03-02,11.758958230879465,11.763837845847053,False
2004-03-03,11.737859477008062,11.763837845847053,False
2004-03-04,11.726861487878466,11.763837845847053,False
2004-03-05,11.732412956468108,11.763837845847053,False
2004-03-06,11.527600318545575,11.763837845847053,False
2004-03-07,11.47367243447088,11.763837845847053,False
2004-03-08,11.786211407548269,11.763837845847053,False
2004-03-09,11.7655402570149,11.763837845847053,False
2004-03-10,11.722320778187886,11.763837845847053,False
2004-03-11,11.815446539598645,11.763837845847053,False
2004-03-12,11.805037845787904,11.763837845847053,False
2004-03-13,11.826666677114599,11.763837845847053,False
2004-03-14,11.875669934106035,11.763837845847053,False
2004-03-15,11.882435492446158,11.763837845847053,False
2004-03-16,11.862877415044697,11.763837845847053,False
2004-03-17,11.929120721035792,11.763837845847053,False
2004-03-18,11.221598922524564,11.763837845847053,False
2004-03-19,11.946329659493909,11.763837845847053,False
2004-03-20,11.917329027983053,11.763837845847053,False
2004-03-21,11.96806337589644,11.763837845847053,False
2004-03-22,11.926454028841713,11.763837845847053,False
2004-03-23,11.983727056777036,11.763837845847053,False
2004-03-24,12.000683684961414,11.763837845847053,False
2004-03-25,12.027442662024276,11.763837845847053,False
2004-03-26,12.030654192268662,11.763837845847053,False
2004-03-27,12.005459088833295,11.763837845847053,False
2004-03-28,12.063509951282516,11.763837845847053,False
2004-03-29,12.005464569608636,11.763837845847053,False
2004-03-30,12.031866282099235,11.763837845847053,False
2004-03-31,12.001987091791888,11.763837845847053,False
2004-04-01,11.947820503147664,11.763837845847053,False
2004-04-02,11.849861837198524,11.763837845847053,False
2004-04-03,11.85238895783838,11.763837845847053,False
2004-04-04,11.865613049605555,11.763837845847053,False
2004-04-05,11.676709208261109,11.763837845847053,False
2004-04-06,10.662262073425756,11.763837845847053,False
2004-04-07,9.647814938590397,11.722734675626068,False
2004-04-08,8.633367803755046,11.66290560354232,False
2004-04-09,7.618920668919697,11.583949277190435,False
2004-04-10,6.604473534084335,11.496501265146973,False
2004-04-11,5.5900263992489805,11.379140138198519,False
2004-04-12,4.575579264413634,11.24261407457054,False
2004-04-13,3.5611321295782745,11.087281961492232,False
2004-04-14,2.5466849947429218,10.912888607779546,False
2004-04-15,1.5322378599075668,10.719149343821003,False
2004-04-16,0.5177907250722126,10.506359309922818,False
2004-04-17,0.040675138888888886,10.30889874651964,False
2004-04-18,12.090541840233572,10.314689945038824,False
2004-04-19,12.005676761365507,10.318867812672632,False
2004-04-20,11.984761645151579,10.322851176040798,False
2004-04-21,12.082150385527385,10.335604263678873,False
2004-04-22,6.07555141111111,10.228116133484793,False
2004-04-23,11.81751832843647,10.229034358981627,False
2004-04-24,12.075073665072706,10.234998801136221,False
2004-04-25,11.990258456943224,10.239761046040657,False
2004-04-26,12.025188931650664,10.245389865734472,False
2004-04-27,11.776642822222225,10.246224391503418,False
2004-04-28,11.973817722896195,10.254643587811922,False
2004-04-29,11.94754812794554,10.263584638632198,False
2004-04-30,11.965585158112436,10.266969049020199,False
2004-05-01,0.051885694444444436,10.04595669878302,False
2004-05-02,3.2028104232772847,9.88521122038848,False
2004-05-03,4.598331252555234,9.749039233840492,False
2004-05-04,5.993852081833179,9.639394219426253,False
2004-05-05,7.389372911111122,9.555671695539397,False
2004-05-06,8.784893740389071,9.497355163582473,False
2004-05-07,10.180414569667015,9.465241561265882,False
2004-05-08,11.575935398944964,9.459827560962117,False
2004-05-09,11.843219296779035,9.458206779372363,False
2004-05-10,11.877468946626465,9.470581685487495,False
2004-05-11,11.795107466608664,9.467728436565134,False
2004-05-12,11.849627236475234,9.466451044272533,False
2004-05-13,11.863925331997025,9.464486175519713,False
2004-05-14,11.876098085458072,9.463536063380399,False
2004-05-15,11.867903802254872,9.461350718955453,False
2004-05-16,11.869976188289359,9.458884539772962,False
2004-05-17,11.887149762419504,9.456237503931364,False
2004-05-18,11.819595372334804,9.452255262045819,False
2004-05-19,11.849450435104457,9.449311702541502,False
2004-05-20,11.855767750672236,9.445392038379044,False
2004-05-21,11.810346708545945,9.441710569302387,False
2004-05-22,11.786277301698227,9.4370768149552,False
2004-05-23,11.841367264799723,9.434046252181762,False
2004-05-24,11.788545516985225,9.4310410637636,False
2004-05-25,11.79834386193213,9.430069026494424,False
2004-05-26,10.765644211423519,9.40956440863754,False
2004-05-27,11.471335620210082,9.402125211856497,False
2004-05-28,11.777512281876902,9.404027156641696,False
2004-05-29,11.799185351693485,9.425478539250523,False
2004-05-30,11.786023329435688,9.465822093794774,False
2004-05-31,11.796283986963616,9.525499757628898,False
2004-06-01,11.816185352811205,9.604693430909869,False
2004-06-02,11.80054892060193,9.70273258914605,False
