,BusVoltage,TotalBusCurrent,BatteryTemperature,WheelTemperature,WheelRPM
Rolling Mean,0.9259999740886952,0.6585929244134608,0.7120216702986816,0.5228706668850819,0.9099581887078576
ARIMA (100%),0.964080936650967,0.8736802232006832,0.9530519259266366,0.9865754783916537,0.9393154456666977
ARIMA (50% train),0.941019859236349,0.2129789300220075,0.9452418727455953,0.990172000689605,0.6194871502078926
ARIMA (50% test),-0.40989640506384084,-0.33988343439504265,0.40967035988871453,0.5057910312162079,0.13313630236906032
Autoencoder (100%),0.9797870781660868,0.871307110600764,0.9707136783276271,0.9980002406430325,0.999487522427927
Autoencoder (50% train),0.9787900174911461,0.42556512037352706,0.9420241537477392,0.995748015288368,0.9970587607886356
Autoencoder (50% test),0.9669469251173594,0.8274007051819382,0.9603819253546241,0.9970302012176818,0.9986423939945384
