Time,RPM,ARIMA
2009-05-22,1266.6463972396714,
2009-05-23,1259.3019286831538,321.20416519492034
2009-05-24,72.33210595314287,443.5461899060684
2009-05-25,0.0,372.2383745362825
2009-05-26,0.0,309.18733463516145
2009-05-27,0.0,260.18671019784483
2009-05-28,0.0,221.43860318814103
2009-05-29,0.0,190.43376982522295
2009-05-30,0.0,165.42328919781994
2009-05-31,0.0,145.1355051330121
2009-06-01,0.0,128.61503378591357
2009-06-02,0.0,115.12614834379215
2009-06-03,0.0,104.0918288708908
2009-06-04,0.0,95.05347165149307
2009-06-05,0.0,87.6430882574482
2009-06-06,0.0,81.56338088705773
2009-06-07,0.0,76.57299602333995
2009-06-08,0.0,72.47532178218546
2009-06-09,0.0,69.109801489331
2009-06-10,0.0,66.34509272661359
2009-06-11,0.0,64.0736170623195
2009-06-12,0.0,62.207180782527566
2009-06-13,0.0,60.6734344487818
2009-06-14,0.0,59.41299786218291
2009-06-15,0.0,58.37711788053704
2009-06-16,0.0,57.525755908783545
2009-06-17,0.0,56.82602361597753
2009-06-18,0.0,56.25090190779061
2009-06-19,0.0,55.77819092079483
2009-06-20,0.0,55.389648803740236
2009-06-21,0.0,55.070284992373814
2009-06-22,0.0,54.80778004686292
2009-06-23,0.0,54.59200925163975
2009-06-24,0.0,54.4146513348021
2009-06-25,0.0,54.268867044693984
2009-06-26,0.0,54.14903507728675
2009-06-27,0.0,54.0505350992049
2009-06-28,0.0,53.96956945280059
2009-06-29,0.0,53.90301663775926
2009-06-30,0.0,53.84831089972011
2009-07-01,0.0,53.80334327004036
2009-07-02,0.0,53.766380232523055
2009-07-03,0.0,53.735996875582295
2009-07-04,0.0,53.7110219488064
2009-07-05,0.0,53.690492703168054
2009-07-06,0.0,53.67361777220137
2009-07-07,0.0,53.65974666204936
2009-07-08,0.0,53.648344673458936
2009-07-09,0.0,53.638972288467386
2009-07-10,0.0,53.63126822681419
2009-07-11,0.0,53.62493551869591
2009-07-12,0.0,53.61973005683775
2009-07-13,0.0,53.615451186483355
2009-07-14,0.0,53.61193397049763
2009-07-15,0.0,53.60904283137447
2009-07-16,0.0,53.60666632503349
2009-07-17,0.0,53.6047128449288
2009-07-18,0.0,53.603107090861094
2009-07-19,0.0,53.601787166366684
2009-07-20,0.0,53.60070219279006
2009-07-21,0.0,53.59981034806562
2009-07-22,0.0,53.59907725460683
2009-07-23,0.0,53.59847465415926
2009-07-24,0.0,53.59797931853586
2009-07-25,0.0,53.59757215424627
2009-07-26,0.0,53.59723746650581
2009-07-27,0.0,53.59696235425381
2009-07-28,0.0,53.59673621286104
2009-07-29,0.0,53.59655032535705
2009-07-30,0.0,53.59639752642054
2009-07-31,0.0,53.596271926180634
2009-08-01,0.0,53.59616868318248
2009-08-02,0.0,53.596083817765795
2009-08-03,0.0,53.596014058662554
2009-08-04,0.0,53.59595671690092
2009-08-05,0.0,53.59590958215464
2009-08-06,0.0,53.59587083754257
2009-08-07,0.0,53.5958389895942
2009-08-08,0.0,53.59581281068151
2009-08-09,0.0,53.595791291698184
2009-08-10,0.0,53.59577360316203
2009-08-11,0.0,53.59575906324131
2009-08-12,0.0,53.595747111472505
2009-08-13,0.0,53.59573728715638
2009-08-14,0.0,53.595729211599625
2009-08-15,0.0,53.595722573517534
2009-08-16,0.0,53.595717117035065
2009-08-17,0.0,53.59571263182374
2009-08-18,0.0,53.595708944994215
2009-08-19,0.0,53.595705914432024
2009-08-20,0.0,53.59570342331949
2009-08-21,0.0,53.59570137563287
2009-08-22,0.0,53.595699692440945
2009-08-23,0.0,53.59569830886251
2009-08-24,0.0,53.59569717156541
2009-08-25,0.0,53.5956962367108
2009-08-26,0.0,53.595695468263266
2009-08-27,0.0,53.59569483660182
2009-08-28,0.0,53.59569431737812
2009-08-29,0.0,53.59569389057787
2009-08-30,0.0,53.595693539749426
2009-08-31,0.0,53.595693251369546
2009-09-01,0.0,53.5956930143222
2009-09-02,0.0,53.59569281947004
2009-09-03,0.0,53.59569265930217
2009-09-04,0.0,53.595692527644694
2009-09-05,0.0,53.59569241942267
2009-09-06,0.0,53.5956923304645
2009-09-07,0.0,53.59569225734117
2009-09-08,0.0,53.59569219723402
2009-09-09,0.0,53.59569214782614
2009-09-10,0.0,53.59569210721302
2009-09-11,0.0,53.595692073829156
2009-09-12,0.0,53.595692046387725
2009-09-13,0.0,53.59569202383096
2009-09-14,0.0,53.59569200528937
2009-09-15,0.0,53.59569199004824
2009-09-16,0.0,53.595691977520076
2009-09-17,0.0,53.59569196722197
2009-09-18,0.0,53.59569195875696
2009-09-19,0.0,53.59569195179875
2009-09-20,0.0,53.595691946079114
2009-09-21,0.0,53.595691941377595
2009-09-22,0.0,53.59569193751296
2009-09-23,0.0,53.595691934336244
2009-09-24,0.0,53.59569193172499
2009-09-25,0.0,53.59569192957856
2009-09-26,0.0,53.59569192781419
2009-09-27,0.0,53.595691926363884
2009-09-28,0.0,53.59569192517174
2009-09-29,0.0,53.595691924191804
2009-09-30,0.0,53.5956919233863
2009-10-01,0.0,53.59569192272417
2009-10-02,0.0,53.59569192217991
2009-10-03,0.0,53.59569192173253
2009-10-04,0.0,53.59569192136478
2009-10-05,0.0,53.595691921062496
2009-10-06,0.0,53.59569192081402
2009-10-07,0.0,53.59569192060977
2009-10-08,0.0,53.59569192044187
2009-10-09,0.0,53.59569192030387
2009-10-10,0.0,53.595691920190426
2009-10-11,0.0,53.59569192009718
2009-10-12,0.0,53.59569192002053
2009-10-13,0.0,53.59569191995752
2009-10-14,0.0,53.595691919905725
